Matching w_words and x_words
w_word	x_word	final_pairing_value
1111223432342344	1234121123324434	1
1111223432342434	1234121123324344	1
1111223432344234	1234121123323444	1
1111223432432344	1234121123234434	1
1111223432432434	1234121123234344	1
1111223432434234	1234121123233444	1
1111223434232344	1234121122334434	1
1111223434232434	1234121122334344	1
1111223434234234	1234121122333444	1
1111232243323444	1234112312344234	1
1111232243342344	1234112312324434	1
1111232243342434	1234112312324344	1
1111232243344234	1234112312323444	1
1111232243432344	1234112312234434	1
1111232243432434	1234112312234344	1
1111232243434234	1234112312233444	1
1111232423323444	1234112132344234	1
1111232423324344	1234112132342434	1
1111232423324434	1234112132342344	1
1111232423342344	1234112132324434	1
1111232423342434	1234112132324344	1
1111232423344234	1234112132323444	1
1111232423432344	1234112132234434	1
1111232423432434	1234112132234344	1
1111232423434234	1234112132233444	1
1111232432323444	1234112123344234	1
1111232432324344	1234112123342434	1
1111232432324434	1234112123342344	1
1111232432342344	1234112123324434	1
1111232432342434	1234112123324344	1
1111232432344234	1234112123323444	1
1111232432432344	1234112123234434	1
1111232432432434	1234112123234344	1
1111232432434234	1234112123233444	1
1111232434232344	1234112122334434	1
1111232434232434	1234112122334344	1
1111232434234234	1234112122333444	1
1111234223323444	1234111232344234	1
1111234223324344	1234111232342434	1
1111234223324434	1234111232342344	1
1111234223342344	1234111232324434	1
1111234223342434	1234111232324344	1
1111234223344234	1234111232323444	1
1111234223432344	1234111232234434	1
1111234223432434	1234111232234344	1
1111234223434234	1234111232233444	1
1111234232323444	1234111223344234	1
1111234232324344	1234111223342434	1
1111234232324434	1234111223342344	1
1111234232342344	1234111223324434	1
1111234232342434	1234111223324344	1
1111234232344234	1234111223323444	1
1111234232432344	1234111223234434	1
1111234232432434	1234111223234344	1
1111234232434234	1234111223233444	1
1111234234232344	1234111222334434	1
1111234234232434	1234111222334344	1
1111234234234234	1234111222333444	1
1112122324334344	1231423141232434	1
1112122324334434	1231423141232344	1
1112122324343344	1231423141223434	1
1112122324343434	1231423141223344	1
1112122332433444	1231423124134234	1
1112122332434344	1231423124132434	-1
1112122332434434	1231423124132344	1
1112122332443434	1231423124123344	1
1112122333423444	1231423123144234	1
1112122333442344	1231423123124434	1
1112122333442434	1231423123124344	-1
1112122334233444	1231423121434234	1
1112122334234344	1231423121432434	-1
1112122334234434	1231423121432344	1
1112122334243344	1231423121423434	1
1112122334243434	1231423121423344	1
1112122334323444	1231423121344234	-1
1112122334324344	1231423121342434	-1
1112122334324434	1231423121342344	-1
1112122334342344	1231423121324434	1
1112122334342434	1231423121324344	-1
1112122334344234	1231423121323444	1
1112122334423344	1231423121243434	1
1112122334423434	1231423121243344	1
1112122334434234	1231423121233444	1
1112122342334344	1231423114232434	1
1112122342334434	1231423114232344	1
1112122342343344	1231423114223434	1
1112122342343434	1231423114223344	1
1112122343233444	1231423112434234	1
1112122343234344	1231423112432434	1
1112122343234434	1231423112432344	1
1112122343243344	1231423112423434	1
1112122343243434	1231423112423344	1
1112122343342344	1231423112324434	1
1112122343342434	1231423112324344	1
1112122343344234	1231423112323444	1
1112122343423344	1231423112243434	1
1112122343423434	1231423112243344	1
1112122343432344	1231423112234434	1
1112122343432434	1231423112234344	1
1112122343434234	1231423112233444	1
1112123232433444	1231421324134234	1
1112123232434344	1231421324132434	-1
1112123232434434	1231421324132344	1
1112123234233444	1231421321434234	1
1112123234234344	1231421321432434	-1
1112123234234434	1231421321432344	1
1112123234243344	1231421321423434	1
1112123234243434	1231421321423344	1
1112123234323444	1231421321344234	1
1112123243233444	1231421312434234	1
1112123243234344	1231421312432434	1
1112123243234434	1231421312432344	1
1112123243243344	1231421312423434	1
1112123243243434	1231421312423344	1
1112123243342344	1231421312324434	1
1112123243344234	1231421312323444	1
1112123243423344	1231421312243434	1
1112123243423434	1231421312243344	1
1112123243432344	1231421312234434	1
1112123243432434	1231421312234344	1
1112123243434234	1231421312233444	1
1112123324323444	1231421231344234	1
1112123324324344	1231421231342434	1
1112123324324434	1231421231342344	1
1112123324342344	1231421231324434	1
1112123324342434	1231421231324344	-1
1112123324344234	1231421231323444	1
1112123324434234	1231421231233444	1
1112123342323444	1231421213344234	1
1112123342324344	1231421213342434	1
1112123342324434	1231421213342344	1
1112123342342344	1231421213324434	1
1112123342342434	1231421213324344	-1
1112123342344234	1231421213323444	1
1112123342432344	1231421213234434	1
1112123342432434	1231421213234344	1
1112123342434234	1231421213233444	1
1112123344232344	1231421212334434	1
1112123344232434	1231421212334344	1
1112123344234234	1231421212333444	1
1112123423233444	1231421132434234	1
1112123423234344	1231421132432434	1
1112123423234434	1231421132432344	1
1112123423243344	1231421132423434	1
1112123423243434	1231421132423344	1
1112123423323444	1231421132344234	1
1112123423324344	1231421132342434	1
1112123423324434	1231421132342344	1
1112123423342344	1231421132324434	1
1112123423342434	1231421132324344	1
1112123423344234	1231421132323444	1
1112123423423344	1231421132243434	1
1112123423423434	1231421132243344	1
1112123423432344	1231421132234434	1
1112123423432434	1231421132234344	1
1112123423434234	1231421132233444	1
1112123432324344	1231421123342434	1
1112123432324434	1231421123342344	1
1112123432342344	1231421123324434	1
1112123432342434	1231421123324344	1
1112123432344234	1231421123323444	1
1112123432432344	1231421123234434	1
1112123432432434	1231421123234344	1
1112123432434234	1231421123233444	1
1112123434232344	1231421122334434	1
1112123434232434	1231421122334344	1
1112123434234234	1231421122333444	1
1112132232433444	1231412324134234	1
1112132232434344	1231412324132434	1
1112132233243444	1231412323414234	1
1112132233423444	1231412323144234	1
1112132233424344	1231412323142434	1
1112132233424434	1231412323142344	1
1112132233442344	1231412323124434	1
1112132233442434	1231412323124344	-1
1112132234233444	1231412321434234	1
1112132234234344	1231412321432434	1
1112132234234434	1231412321432344	1
1112132234323444	1231412321344234	1
1112132234324344	1231412321342434	1
1112132234324434	1231412321342344	1
1112132234342344	1231412321324434	1
1112132234342434	1231412321324344	-1
1112132234344234	1231412321323444	1
1112132234423344	1231412321243434	1
1112132234423434	1231412321243344	1
1112132243423344	1231412312243434	-1
1112132243423434	1231412312243344	-1
1112132243432344	1231412312234434	-1
1112132243432434	1231412312234344	-1
1112132243434234	1231412312233444	-1
1112132323243444	1231412233414234	1
1112132323423444	1231412233144234	1
1112132323424344	1231412233142434	1
1112132323424434	1231412233142344	1
1112132324323444	1231412231344234	1
1112132324324344	1231412231342434	1
1112132324324434	1231412231342344	1
1112132324342344	1231412231324434	1
1112132324342434	1231412231324344	-1
1112132324344234	1231412231323444	1
1112132342323444	1231412213344234	1
1112132342324344	1231412213342434	1
1112132342324434	1231412213342344	1
1112132342342344	1231412213324434	1
1112132342342434	1231412213324344	-1
1112132342344234	1231412213323444	1
1112132342432344	1231412213234434	1
1112132342432434	1231412213234344	1
1112132342434234	1231412213233444	1
1112132344232434	1231412212334344	1
1112132344234234	1231412212333444	1
1112132423323444	1231412132344234	1
1112132423324344	1231412132342434	1
1112132423324434	1231412132342344	1
1112132423342344	1231412132324434	1
1112132423342434	1231412132324344	1
1112132423344234	1231412132323444	1
1112132423423344	1231412132243434	1
1112132423423434	1231412132243344	1
1112132423432344	1231412132234434	1
1112132423432434	1231412132234344	1
1112132423434234	1231412132233444	1
1112132432342344	1231412123324434	1
1112132432342434	1231412123324344	1
1112132432344234	1231412123323444	1
1112132432432344	1231412123234434	1
1112132432432434	1231412123234344	1
1112132432434234	1231412123233444	1
1112132434232344	1231412122334434	-1
1112132434232434	1231412122334344	-1
1112132434234234	1231412122333444	-1
1112134223323444	1231411232344234	-1
1112134223324344	1231411232342434	-1
1112134223324434	1231411232342344	-1
1112134223342344	1231411232324434	-1
1112134223342434	1231411232324344	-1
1112134223344234	1231411232323444	-1
1112134223423344	1231411232243434	-1
1112134223423434	1231411232243344	-1
1112134223432344	1231411232234434	-1
1112134223432434	1231411232234344	-1
1112134223434234	1231411232233444	-1
1112134232323444	1231411223344234	-1
1112134232324344	1231411223342434	-1
1112134232324434	1231411223342344	-1
1112134232342344	1231411223324434	-1
1112134232342434	1231411223324344	-1
1112134232344234	1231411223323444	-1
1112134232423344	1231411223243434	-1
1112134232423434	1231411223243344	-1
1112134232432344	1231411223234434	-1
1112134232432434	1231411223234344	-1
1112134232434234	1231411223233444	-1
1112134234232344	1231411222334434	-1
1112134234232434	1231411222334344	-1
1112134234234234	1231411222333444	-1
1112212324334434	1231243141232344	1
1112212324343344	1231243141223434	1
1112212324343434	1231243141223344	1
1112212332433444	1231243124134234	1
1112212332434344	1231243124132434	-1
1112212332434434	1231243124132344	1
1112212334233444	1231243121434234	1
1112212334234344	1231243121432434	-1
1112212334234434	1231243121432344	1
1112212334243344	1231243121423434	1
1112212334243434	1231243121423344	1
1112212334323444	1231243121344234	-1
1112212334324344	1231243121342434	-1
1112212334324434	1231243121342344	-1
1112212334342344	1231243121324434	1
1112212334342434	1231243121324344	-1
1112212334344234	1231243121323444	1
1112212334423434	1231243121243344	1
1112212342333444	1231243114234234	1
1112212342334344	1231243114232434	1
1112212342334434	1231243114232344	1
1112212342343344	1231243114223434	1
1112212342343434	1231243114223344	1
1112212343234344	1231243112432434	1
1112212343234434	1231243112432344	1
1112212343243344	1231243112423434	1
1112212343243434	1231243112423344	1
1112212343344234	1231243112323444	1
1112212343423344	1231243112243434	1
1112212343423434	1231243112243344	1
1112212343432344	1231243112234434	1
1112212343432434	1231243112234344	1
1112212343434234	1231243112233444	1
1112213223343444	1231241342314234	1
1112213223433444	1231241342134234	1
1112213223434344	1231241342132434	-1
1112213223434434	1231241342132344	1
1112213224343344	1231241341223434	-1
1112213224343434	1231241341223344	-1
1112213232343444	1231241324314234	1
1112213232433444	1231241324134234	1
1112213232434344	1231241324132434	-1
1112213232434434	1231241324132344	1
1112213233243444	1231241323414234	1
1112213233423444	1231241323144234	1
1112213233424344	1231241323142434	1
1112213233424434	1231241323142344	1
1112213233442344	1231241323124434	1
1112213234233444	1231241321434234	1
1112213234234344	1231241321432434	-1
1112213234234434	1231241321432344	1
1112213234243344	1231241321423434	1
1112213234243434	1231241321423344	1
1112213234323444	1231241321344234	1
1112213234324344	1231241321342434	1
1112213234324434	1231241321342344	1
1112213234342344	1231241321324434	1
1112213234342434	1231241321324344	-1
1112213234344234	1231241321323444	1
1112213234423434	1231241321243344	1
1112213243234344	1231241312432434	1
1112213243234434	1231241312432344	1
1112213243243344	1231241312423434	1
1112213243243434	1231241312423344	1
1112213243423344	1231241312243434	-1
1112213243423434	1231241312243344	-1
1112213243432344	1231241312234434	-1
1112213243432434	1231241312234344	-1
1112213243434234	1231241312233444	-1
1112213323423444	1231241233144234	1
1112213323424344	1231241233142434	1
1112213323424434	1231241233142344	1
1112213323442344	1231241233124434	1
1112213324342344	1231241231324434	-1
1112213324342434	1231241231324344	1
1112213324344234	1231241231323444	-1
1112213342342344	1231241213324434	1
1112213342342434	1231241213324344	-1
1112213342344234	1231241213323444	1
1112213342423344	1231241213243434	1
1112213342423434	1231241213243344	1
1112213342432344	1231241213234434	-1
1112213342432434	1231241213234344	1
1112213342434234	1231241213233444	1
1112213422334344	1231241134232434	1
1112213422334434	1231241134232344	1
1112213422343344	1231241134223434	1
1112213422343434	1231241134223344	1
1112213423234344	1231241132432434	1
1112213423234434	1231241132432344	1
1112213423243344	1231241132423434	1
1112213423243434	1231241132423344	1
1112213423324344	1231241132342434	1
1112213423324434	1231241132342344	1
1112213423342344	1231241132324434	1
1112213423342434	1231241132324344	1
1112213423344234	1231241132323444	1
1112213423423344	1231241132243434	1
1112213423423434	1231241132243344	1
1112213423432344	1231241132234434	1
1112213423432434	1231241132234344	1
1112213423434234	1231241132233444	1
1112213432342344	1231241123324434	1
1112213432342434	1231241123324344	1
1112213432344234	1231241123323444	1
1112213432434234	1231241123233444	1
1112213434232344	1231241122334434	-1
1112213434232434	1231241122334344	1
1112213434234234	1231241122333444	1
1112223341234344	1231231214432434	-1
1112223341234434	1231231214432344	1
1112223341243344	1231231214423434	1
1112223341243434	1231231214423344	1
1112223341324344	1231231214342434	1
1112223341342344	1231231214324434	1
1112223341423344	1231231214243434	1
1112223341423434	1231231214243344	1
1112223343124344	1231231213442434	-1
1112223343142344	1231231213424434	-1
1112223343412344	1231231213244434	1
1112223344123344	1231231212443434	1
1112223344123434	1231231212443344	1
1112223412334344	1231231144232434	1
1112223412334434	1231231144232344	1
1112223412343344	1231231144223434	1
1112223412343434	1231231144223344	1
1112223413234344	1231231142432434	1
1112223413234434	1231231142432344	1
1112223413243344	1231231142423434	1
1112223413243434	1231231142423344	1
1112223431234344	1231231124432434	1
1112223431234434	1231231124432344	1
1112223431243344	1231231124423434	1
1112223431243434	1231231124423344	1
1112223431342344	1231231124324434	1
1112223431423344	1231231124243434	1
1112223431423434	1231231124243344	1
1112223434123344	1231231122443434	1
1112223434123434	1231231122443344	1
1112223434132344	1231231122434434	-1
1112223434312344	1231231122344434	1
1112231223434344	1231214342132434	-1
1112231223434434	1231214342132344	1
1112231224343344	1231214341223434	-1
1112231224343434	1231214341223344	-1
1112231232434344	1231214324132434	-1
1112231232434434	1231214324132344	1
1112231233424344	1231214323142434	1
1112231233424434	1231214323142344	1
1112231233442344	1231214323124434	1
1112231234234344	1231214321432434	-1
1112231234234434	1231214321432344	1
1112231234243344	1231214321423434	1
1112231234243434	1231214321423344	1
1112231234324344	1231214321342434	1
1112231234342344	1231214321324434	1
1112231234342434	1231214321324344	-1
1112231234344234	1231214321323444	1
1112231234423434	1231214321243344	1
1112231243234344	1231214312432434	1
1112231243234434	1231214312432344	1
1112231243243434	1231214312423344	1
1112231243423344	1231214312243434	-1
1112231243423434	1231214312243344	-1
1112231243432344	1231214312234434	-1
1112231243432434	1231214312234344	-1
1112231243434234	1231214312233444	-1
1112231323424344	1231214233142434	1
1112231323424434	1231214233142344	1
1112231323442344	1231214233124434	1
1112231324234344	1231214231432434	1
1112231324324344	1231214231342434	1
1112231324342344	1231214231324434	-1
1112231324342434	1231214231324344	1
1112231324344234	1231214231323444	-1
1112231342342344	1231214213324434	1
1112231342342434	1231214213324344	-1
1112231342344234	1231214213323444	1
1112231342423344	1231214213243434	1
1112231342423434	1231214213243344	1
1112231342432344	1231214213234434	-1
1112231342432434	1231214213234344	1
1112231342434234	1231214213233444	1
1112231422334434	1231214134232344	1
1112231422343344	1231214134223434	1
1112231422343434	1231214134223344	1
1112231423234344	1231214132432434	1
1112231423234434	1231214132432344	1
1112231423243344	1231214132423434	1
1112231423243434	1231214132423344	1
1112231423324344	1231214132342434	1
1112231423342344	1231214132324434	1
1112231423342434	1231214132324344	1
1112231423344234	1231214132323444	1
1112231423423344	1231214132243434	1
1112231423423434	1231214132243344	1
1112231423432344	1231214132234434	1
1112231423432434	1231214132234344	1
1112231423434234	1231214132233444	1
1112231432342344	1231214123324434	1
1112231432342434	1231214123324344	1
1112231432344234	1231214123323444	1
1112231434232344	1231214122334434	-1
1112231434232434	1231214122334344	1
1112231434234234	1231214122333444	1
1112232123434344	1231213442132434	-1
1112232123434434	1231213442132344	1
1112232124343344	1231213441223434	-1
1112232124343434	1231213441223344	-1
1112232132434344	1231213424132434	1
1112232132434434	1231213424132344	-1
1112232142334344	1231213414232434	1
1112232142334434	1231213414232344	1
1112232142343344	1231213414223434	1
1112232142343434	1231213414223344	1
1112232312434344	1231213244132434	1
1112232312434434	1231213244132344	-1
1112232314234344	1231213241432434	-1
1112232314234434	1231213241432344	1
1112232314243434	1231213241423344	1
1112232314342344	1231213241324434	1
1112232341234344	1231213214432434	-1
1112232341234434	1231213214432344	1
1112232341243434	1231213214423344	1
1112232412334344	1231213144232434	1
1112232412334434	1231213144232344	1
1112232412343344	1231213144223434	1
1112232412343434	1231213144223344	1
1112232413234344	1231213142432434	1
1112232413234434	1231213142432344	1
1112232413243434	1231213142423344	1
1112232431234344	1231213124432434	1
1112232431234434	1231213124432344	1
1112232431243434	1231213124423344	1
1112232431342344	1231213124324434	1
1112232431423434	1231213124243344	1
1112232434123344	1231213122443434	1
1112232434123434	1231213122443344	1
1112232434132344	1231213122434434	-1
1112232434312344	1231213122344434	1
1112233123424344	1231212433142434	1
1112233123424434	1231212433142344	1
1112233123442344	1231212433124434	1
1112233124234344	1231212431432434	1
1112233124342344	1231212431324434	-1
1112233124342434	1231212431324344	1
1112233124344234	1231212431323444	-1
1112233142342344	1231212413324434	1
1112233142342434	1231212413324344	-1
1112233142344234	1231212413323444	1
1112233412234344	1231212143432434	1
1112233412234434	1231212143432344	1
1112233412243434	1231212143423344	1
1112233412324344	1231212143342434	1
1112233412324434	1231212143342344	1
1112233412342344	1231212143324434	1
1112233412342434	1231212143324344	-1
1112233412344234	1231212143323444	1
1112233412423344	1231212143243434	1
1112233412423434	1231212143243344	1
1112233412432344	1231212143234434	-1
1112233412432434	1231212143234344	1
1112233412434234	1231212143233444	1
1112233414232344	1231212142334434	-1
1112233414232434	1231212142334344	1
1112233414234234	1231212142333444	1
1112233421234344	1231212134432434	-1
1112233421234434	1231212134432344	-1
1112233421243434	1231212134423344	-1
1112233421423434	1231212134243344	-1
1112233423124344	1231212133442434	1
1112233423142344	1231212133424434	1
1112233423412344	1231212133244434	1
1112233424123344	1231212132443434	1
1112233424123434	1231212132443344	1
1112233424132344	1231212132434434	-1
1112233424312344	1231212132344434	1
1112233441232344	1231212124334434	-1
1112233441232434	1231212124334344	1
1112233441234234	1231212124333444	1
1112234122334344	1231211434232434	1
1112234122334434	1231211434232344	1
1112234122343434	1231211434223344	1
1112234123234344	1231211432432434	1
1112234123234434	1231211432432344	1
1112234123243434	1231211432423344	1
1112234123342344	1231211432324434	1
1112234123342434	1231211432324344	1
1112234123344234	1231211432323444	1
1112234123423344	1231211432243434	1
1112234123423434	1231211432243344	1
1112234123432344	1231211432234434	1
1112234123432434	1231211432234344	1
1112234123434234	1231211432233444	1
1112234132324344	1231211423342434	1
1112234132324434	1231211423342344	1
1112234132342344	1231211423324434	1
1112234132342434	1231211423324344	1
1112234132344234	1231211423323444	1
1112234132423344	1231211423243434	1
1112234132423434	1231211423243344	1
1112234132432344	1231211423234434	-1
1112234132432434	1231211423234344	1
1112234132434234	1231211423233444	1
1112234134232344	1231211422334434	-1
1112234134232434	1231211422334344	1
1112234134234234	1231211422333444	1
1112234212334344	1231211344232434	1
1112234212334434	1231211344232344	1
1112234212343434	1231211344223344	1
1112234213234434	1231211342432344	1
1112234231234344	1231211324432434	1
1112234231234434	1231211324432344	1
1112234231243434	1231211324423344	1
1112234231324344	1231211324342434	-1
1112234231342344	1231211324324434	1
1112234231423344	1231211324243434	1
1112234231423434	1231211324243344	1
1112234231432344	1231211324234434	1
1112234233124344	1231211323442434	1
1112234233142344	1231211323424434	1
1112234233412344	1231211323244434	1
1112234234123344	1231211322443434	1
1112234234123434	1231211322443344	1
1112234234132344	1231211322434434	-1
1112234234312344	1231211322344434	1
1112234312324344	1231211243342434	1
1112234312324434	1231211243342344	1
1112234312342344	1231211243324434	1
1112234312342434	1231211243324344	1
1112234312344234	1231211243323444	1
1112234312423344	1231211243243434	1
1112234312423434	1231211243243344	1
1112234312432344	1231211243234434	-1
1112234312434234	1231211243233444	1
1112234323412344	1231211233244434	1
1112234341223344	1231211224343434	-1
1112234341223434	1231211224343344	-1
1112234341232344	1231211224334434	-1
1112234341232434	1231211224334344	1
1112234341234234	1231211224333444	1
1112234342123344	1231211223443434	1
1112234342123434	1231211223443344	1
1112234342132344	1231211223434434	1
1112234342312344	1231211223344434	1
1112312232434344	1231142324132434	1
1112312233424344	1231142323142434	1
1112312233424434	1231142323142344	1
1112312233442344	1231142323124434	1
1112312234234344	1231142321432434	1
1112312234234434	1231142321432344	1
1112312234342344	1231142321324434	1
1112312234342434	1231142321324344	-1
1112312234344234	1231142321323444	1
1112312234423434	1231142321243344	1
1112312243423344	1231142312243434	-1
1112312243423434	1231142312243344	-1
1112312243432344	1231142312234434	-1
1112312243434234	1231142312233444	-1
1112312323424344	1231142233142434	1
1112312323424434	1231142233142344	1
1112312324342344	1231142231324434	1
1112312324342434	1231142231324344	-1
1112312324344234	1231142231323444	1
1112312342324344	1231142213342434	1
1112312342324434	1231142213342344	1
1112312342342344	1231142213324434	1
1112312342342434	1231142213324344	-1
1112312342344234	1231142213323444	1
1112312342432344	1231142213234434	1
1112312342434234	1231142213233444	1
1112312344234234	1231142212333444	1
1112312423342344	1231142132324434	1
1112312423342434	1231142132324344	1
1112312423344234	1231142132323444	1
1112312423423344	1231142132243434	1
1112312423423434	1231142132243344	1
1112312423432344	1231142132234434	1
1112312423434234	1231142132233444	1
1112312432344234	1231142123323444	1
1112312434232344	1231142122334434	-1
1112312434232434	1231142122334344	-1
1112312434234234	1231142122333444	-1
1112314223432344	1231141232234434	1
1112314223434234	1231141232233444	1
1112314232324344	1231141223342434	1
1112314232324434	1231141223342344	1
1112314232342344	1231141223324434	1
1112314232342434	1231141223324344	1
1112314232344234	1231141223323444	1
1112314232423344	1231141223243434	1
1112314232423434	1231141223243344	1
1112314232432344	1231141223234434	1
1112314232434234	1231141223233444	1
1112314234232344	1231141222334434	1
1112314234232434	1231141222334344	1
1112314234234234	1231141222333444	1
1112321233424344	1231124323142434	1
1112321233424434	1231124323142344	1
1112321234234344	1231124321432434	1
1112321234342344	1231124321324434	1
1112321234342434	1231124321324344	-1
1112321234344234	1231124321323444	1
1112321243234434	1231124312432344	1
1112321243423344	1231124312243434	-1
1112321243423434	1231124312243344	-1
1112321243432344	1231124312234434	-1
1112321243434234	1231124312233444	-1
1112321342234344	1231124213432434	1
1112321342234434	1231124213432344	1
1112321342324344	1231124213342434	1
1112321342342344	1231124213324434	1
1112321342342434	1231124213324344	-1
1112321342344234	1231124213323444	1
1112323122434344	1231122434132434	1
1112323123424344	1231122433142434	1
1112323124234344	1231122431432434	1
1112323124342344	1231122431324434	-1
1112323124342434	1231122431324344	1
1112323124344234	1231122431323444	-1
1112323142234344	1231122413432434	1
1112323142324344	1231122413342434	1
1112323142342344	1231122413324434	1
1112323142342434	1231122413324344	-1
1112323142344234	1231122413323444	1
1112323142423344	1231122413243434	1
1112323142423434	1231122413243344	1
1112323212434344	1231122344132434	-1
1112323241234344	1231122314432434	1
1112323412234344	1231122143432434	1
1112323412243434	1231122143423344	1
1112323412324344	1231122143342434	1
1112323412342344	1231122143324434	1
1112323412342434	1231122143324344	-1
1112323412344234	1231122143323444	1
1112323412423344	1231122143243434	1
1112323412423434	1231122143243344	1
1112323412432344	1231122143234434	-1
1112323412434234	1231122143233444	1
1112323414232344	1231122142334434	-1
1112323414232434	1231122142334344	1
1112323414234234	1231122142333444	1
1112323421234344	1231122134432434	1
1112323421243434	1231122134423344	1
1112324122334344	1231121434232434	1
1112324122343434	1231121434223344	1
1112324123234344	1231121432432434	1
1112324123243434	1231121432423344	1
1112324123342344	1231121432324434	1
1112324123342434	1231121432324344	1
1112324123344234	1231121432323444	1
1112324123423344	1231121432243434	1
1112324123423434	1231121432243344	1
1112324123432344	1231121432234434	1
1112324123434234	1231121432233444	1
1112324132324344	1231121423342434	1
1112324132342344	1231121423324434	1
1112324132342434	1231121423324344	1
1112324132344234	1231121423323444	1
1112324132423344	1231121423243434	1
1112324132423434	1231121423243344	1
1112324132432344	1231121423234434	-1
1112324132434234	1231121423233444	1
1112324134232344	1231121422334434	-1
1112324134232434	1231121422334344	1
1112324134234234	1231121422333444	1
1112324212343434	1231121344223344	-1
1112324231234344	1231121324432434	1
1112324231243434	1231121324423344	1
1112324231324344	1231121324342434	-1
1112324231342344	1231121324324434	1
1112324231423344	1231121324243434	1
1112324231423434	1231121324243344	1
1112324233124344	1231121323442434	1
1112324233412344	1231121323244434	1
1112324234123344	1231121322443434	1
1112324234123434	1231121322443344	1
1112324234132344	1231121322434434	-1
1112324234312344	1231121322344434	1
1112324312342344	1231121243324434	1
1112324312342434	1231121243324344	1
1112324312344234	1231121243323444	1
1112324341223344	1231121224343434	-1
1112324341223434	1231121224343344	-1
1112324341232344	1231121224334434	-1
1112324341232434	1231121224334344	1
1112324341234234	1231121224333444	1
1112324342123344	1231121223443434	1
1112324342123434	1231121223443344	1
1112324342312344	1231121223344434	1
1112341223234344	1231114232432434	1
1112341223243434	1231114232423344	1
1112341223342344	1231114232324434	1
1112341223342434	1231114232324344	1
1112341223344234	1231114232323444	1
1112341223423344	1231114232243434	1
1112341223423434	1231114232243344	1
1112341223434234	1231114232233444	1
1112341232324344	1231114223342434	1
1112341232342344	1231114223324434	1
1112341232342434	1231114223324344	1
1112341232344234	1231114223323444	1
1112341232423344	1231114223243434	1
1112341232423434	1231114223243344	1
1112341232434234	1231114223233444	1
1112341234232344	1231114222334434	1
1112341234232434	1231114222334344	1
1112341234234234	1231114222333444	1
1112342123434234	1231112432233444	1
1112342312234344	1231112243432434	-1
1112342312243434	1231112243423344	-1
1112342312324344	1231112243342434	1
1112342312342344	1231112243324434	1
1112342312342434	1231112243324344	1
1112342312423344	1231112243243434	1
1112342312423434	1231112243243344	1
1112342312434234	1231112243233444	1
1112342314232344	1231112242334434	-1
1112342314232434	1231112242334344	1
1112342314234234	1231112242333444	1
1112342321234344	1231112234432434	1
1112342323124344	1231112233442434	1
1112342323142344	1231112233424434	1
1112342323412344	1231112233244434	1
1112342324123344	1231112232443434	1
1112342324123434	1231112232443344	1
1112342324132344	1231112232434434	1
1112342341223344	1231112224343434	-1
1112342341223434	1231112224343344	-1
1112342341232344	1231112224334434	-1
1112342341232434	1231112224334344	1
1112342341234234	1231112224333444	1
1112342342123434	1231112223443344	1
1112342342312344	1231112223344434	1
1121212233434344	1213243412132434	1
1121212234343434	1213243411223344	-1
1121212324343434	1213243141223344	1
1121212334234344	1213243121432434	-1
1121212334243434	1213243121423344	1
