representative_index	w_word	x_word	x_index	status	final_pairing_value	used_three_strand_relation	pairing_value_warning	active_term_count	discharged_term_count	elapsed_sec	error	result_source
7	1111222233434434	1122134324132344	7702	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.683		All_Pairings_0727.tsv
7	1111222233434434	1123211324243344	10323	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	5	18	36.892		All_Pairings_0727.tsv
7	1111222233434434	1123211324432344	10333	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.364		All_Pairings_0727.tsv
7	1111222233434434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		6	7	33.347		All_Pairings_0727.tsv
7	1111222233434434	1123211434232344	10396	fallback_evaluated_by_x_component_coloring	0	no		2	6	6.410		All_Pairings_0727.tsv
7	1111222233434434	1123213214243344	10693	fallback_evaluated_by_x_component_coloring	0	no		6	5	33.405		All_Pairings_0727.tsv
7	1111222233434434	1123213412243344	10764	fallback_evaluated_by_x_component_coloring	0	no		3	5	11.177		All_Pairings_0727.tsv
7	1111222233434434	1123213414232344	10779	fallback_evaluated_by_x_component_coloring	-1	no		3	5	15.921		All_Pairings_0727.tsv
7	1111222233434434	1123213424132344	10810	fallback_evaluated_by_x_component_coloring	0	no		3	3	5.178		All_Pairings_0727.tsv
7	1111222233434434	1123213442132344	10824	fallback_evaluated_by_x_component_coloring	1	no		2	4	7.650		All_Pairings_0727.tsv
7	1111222233434434	1123214312243344	10932	fallback_evaluated_by_x_component_coloring	0	no		4	5	13.339		All_Pairings_0727.tsv
7	1111222233434434	1123214314232344	10947	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.951		All_Pairings_0727.tsv
7	1111222233434434	1123214324132344	10978	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.553		All_Pairings_0727.tsv
7	1111222233434434	1123231214243344	11077	fallback_evaluated_by_x_component_coloring	0	no		3	5	10.349		All_Pairings_0727.tsv
7	1111222233434434	1123231412243344	11148	fallback_evaluated_by_x_component_coloring	0	no		4	5	20.817		All_Pairings_0727.tsv
7	1111222233434434	1123231414232344	11163	fallback_evaluated_by_x_component_coloring	0	no		8	4	44.935		All_Pairings_0727.tsv
7	1111222233434434	1123231424132344	11194	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.858		All_Pairings_0727.tsv
7	1111222233434434	1123231442132344	11208	fallback_evaluated_by_x_component_coloring	0	no		3	3	6.206		All_Pairings_0727.tsv
7	1111222233434434	1123234112243344	11218	fallback_evaluated_by_x_component_coloring	0	no		2	4	5.877		All_Pairings_0727.tsv
7	1111222233434434	1123234114232344	11233	fallback_evaluated_by_x_component_coloring	0	no		4	2	5.716		All_Pairings_0727.tsv
7	1111222233434434	1123234412132344	11292	fallback_evaluated_by_x_component_coloring	0	no		2	1	1.939		All_Pairings_0727.tsv
7	1111222233434434	1211123324243344	12189	fallback_evaluated_by_x_component_coloring	0	no		9	7	108.431		All_Pairings_0727.tsv
7	1111222233434434	1211123432243344	12247	fallback_evaluated_by_x_component_coloring	0	no		4	4	13.822		All_Pairings_0727.tsv
7	1111222233434434	1211132224343344	12277	fallback_evaluated_by_x_component_coloring	0	no		11	9	171.380		All_Pairings_0727.tsv
7	1111222233434434	1211132324243344	12357	fallback_evaluated_by_x_component_coloring	0	no		6	5	123.450		remaining_unresolved_931_after_splice_fix_results_20260728.tsv
7	1111222233434434	1211132423233444	12396	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	18	112.645		all_unresolved_1004_recomputed_current_roundrobin_20260728.tsv
7	1111222233434434	1211132423243344	12399	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	5	13	22.821		All_Pairings_0727.tsv
7	1111222233434434	1211132432233444	12412	fallback_evaluated_by_x_component_coloring	0	no		2	7	11.676		All_Pairings_0727.tsv
7	1111222233434434	1211132432243344	12415	fallback_evaluated_by_x_component_coloring	0	no		2	9	19.832		All_Pairings_0727.tsv
7	1111222233434434	1211134223233444	12438	fallback_evaluated_by_x_component_coloring	0	no		3	8	17.258		All_Pairings_0727.tsv
7	1111222233434434	1211134223243344	12441	fallback_evaluated_by_x_component_coloring	0	no		2	7	10.386		All_Pairings_0727.tsv
7	1111222233434434	1212113324243344	15159	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	27	100.577		All_Pairings_0727.tsv
7	1111222233434434	1212113432243344	15217	fallback_evaluated_by_x_component_coloring	0	no		6	6	29.629		All_Pairings_0727.tsv
7	1111222233434434	1213112224333444	17632	fallback_evaluated_by_x_component_coloring	0	no		12	7	154.646		All_Pairings_0727.tsv
7	1111222233434434	1213112224343344	17635	fallback_evaluated_by_x_component_coloring	0	no		6	7	65.071		All_Pairings_0727.tsv
7	1111222233434434	1213112324243344	17715	fallback_evaluated_by_x_component_coloring	0	no		3	5	11.864		All_Pairings_0727.tsv
7	1111222233434434	1213112423233444	17754	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	14	194.845		remaining_unresolved_931_after_splice_fix_results_20260728.tsv
7	1111222233434434	1213112423243344	17757	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	11	11.364		All_Pairings_0727.tsv
7	1111222233434434	1213112432233444	17770	fallback_evaluated_by_x_component_coloring	0	no		2	6	6.964		All_Pairings_0727.tsv
7	1111222233434434	1213112432243344	17773	fallback_evaluated_by_x_component_coloring	0	no		2	7	10.441		All_Pairings_0727.tsv
7	1111222233434434	1213114223233444	17796	fallback_evaluated_by_x_component_coloring	0	no		6	7	38.579		All_Pairings_0727.tsv
7	1111222233434434	1213114223243344	17799	fallback_evaluated_by_x_component_coloring	0	no		4	5	12.869		All_Pairings_0727.tsv
7	1111222233434434	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	0	no		6	7	43.085		All_Pairings_0727.tsv
7	1111222233434434	1213121224343344	17845	fallback_evaluated_by_x_component_coloring	0	no		3	6	17.418		All_Pairings_0727.tsv
7	1111222233434434	1213121324243344	17925	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	12	14.084		All_Pairings_0727.tsv
7	1111222233434434	1213121423233444	17964	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	10	16.243		All_Pairings_0727.tsv
7	1111222233434434	1213121423243344	17967	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	8	2.383		All_Pairings_0727.tsv
7	1111222233434434	1213121432233444	17980	fallback_evaluated_by_x_component_coloring	0	no		2	6	10.426		All_Pairings_0727.tsv
7	1111222233434434	1213121432243344	17983	fallback_evaluated_by_x_component_coloring	0	no		6	6	28.932		All_Pairings_0727.tsv
7	1111222233434434	1213122314243344	18093	fallback_evaluated_by_x_component_coloring	0	no		3	5	12.374		All_Pairings_0727.tsv
7	1111222233434434	1213122413233444	18166	fallback_evaluated_by_x_component_coloring	0	no		3	6	15.633		All_Pairings_0727.tsv
7	1111222233434434	1213122413243344	18169	fallback_evaluated_by_x_component_coloring	0	no		6	6	43.425		All_Pairings_0727.tsv
7	1111222233434434	1213122413342344	18174	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	14	26	223.974		All_Pairings_0727.tsv
7	1111222233434434	1213122433142344	18201	fallback_evaluated_by_x_component_coloring	0	no		6	5	36.855		All_Pairings_0727.tsv
7	1111222233434434	1213122434132344	18210	fallback_evaluated_by_x_component_coloring	0	no		3	4	9.338		All_Pairings_0727.tsv
7	1111222233434434	1213123214243344	18295	fallback_evaluated_by_x_component_coloring	0	no		4	4	12.911		All_Pairings_0727.tsv
7	1111222233434434	1213123412243344	18366	fallback_evaluated_by_x_component_coloring	0	no		2	4	6.462		All_Pairings_0727.tsv
7	1111222233434434	1213123424132344	18412	fallback_evaluated_by_x_component_coloring	0	no		2	2	2.088		All_Pairings_0727.tsv
7	1111222233434434	1213123442132344	18426	fallback_evaluated_by_x_component_coloring	0	no		1	2	1.008		All_Pairings_0727.tsv
7	1111222233434434	1213124213233444	18480	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	8	3.123		All_Pairings_0727.tsv
7	1111222233434434	1213124213243344	18483	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	3	7	3.170		All_Pairings_0727.tsv
7	1111222233434434	1213124213342344	18488	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	12	11.940		All_Pairings_0727.tsv
7	1111222233434434	1213124312233444	18531	fallback_evaluated_by_x_component_coloring	0	no		1	5	4.541		All_Pairings_0727.tsv
7	1111222233434434	1213124312243344	18534	fallback_evaluated_by_x_component_coloring	0	no		4	4	10.823		All_Pairings_0727.tsv
7	1111222233434434	1213124323142344	18571	fallback_evaluated_by_x_component_coloring	0	no		3	3	5.374		All_Pairings_0727.tsv
7	1111222233434434	1213124324132344	18580	fallback_evaluated_by_x_component_coloring	0	no		2	3	3.109		All_Pairings_0727.tsv
7	1111222233434434	1213211224333444	18820	fallback_evaluated_by_x_component_coloring	0	no		2	7	11.561		All_Pairings_0727.tsv
7	1111222233434434	1213211224343344	18823	fallback_evaluated_by_x_component_coloring	0	no		1	6	5.614		All_Pairings_0727.tsv
7	1111222233434434	1213211324243344	18903	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	13	15.963		All_Pairings_0727.tsv
7	1111222233434434	1213211324432344	18913	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.370		All_Pairings_0727.tsv
7	1111222233434434	1213211423233444	18942	fallback_evaluated_by_x_component_coloring	0	no		3	6	11.982		All_Pairings_0727.tsv
7	1111222233434434	1213211423243344	18945	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.695		All_Pairings_0727.tsv
7	1111222233434434	1213211423342344	18950	fallback_evaluated_by_x_component_coloring	0	no		4	4	9.945		All_Pairings_0727.tsv
7	1111222233434434	1213211432233444	18958	fallback_evaluated_by_x_component_coloring	0	no		6	6	29.725		All_Pairings_0727.tsv
7	1111222233434434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		17	9	353.089		All_Pairings_0727.tsv
7	1111222233434434	1213211434232344	18976	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	7	15	37.924		All_Pairings_0727.tsv
7	1111222233434434	1213212314243344	19071	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.148		All_Pairings_0727.tsv
7	1111222233434434	1213212413233444	19144	fallback_evaluated_by_x_component_coloring	0	no		1	6	4.885		All_Pairings_0727.tsv
7	1111222233434434	1213212413243344	19147	fallback_evaluated_by_x_component_coloring	0	no		2	5	5.767		All_Pairings_0727.tsv
7	1111222233434434	1213212413342344	19152	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	11	15.658		All_Pairings_0727.tsv
7	1111222233434434	1213212433142344	19179	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.581		All_Pairings_0727.tsv
7	1111222233434434	1213212434132344	19188	fallback_evaluated_by_x_component_coloring	0	no		1	4	1.195		All_Pairings_0727.tsv
7	1111222233434434	1213213214243344	19273	fallback_evaluated_by_x_component_coloring	0	no		4	5	12.414		All_Pairings_0727.tsv
7	1111222233434434	1213213412243344	19344	fallback_evaluated_by_x_component_coloring	0	no		2	5	7.357		All_Pairings_0727.tsv
7	1111222233434434	1213213414232344	19359	fallback_evaluated_by_x_component_coloring	0	no		3	4	6.606		All_Pairings_0727.tsv
7	1111222233434434	1213213424132344	19390	fallback_evaluated_by_x_component_coloring	0	no		2	3	3.215		All_Pairings_0727.tsv
7	1111222233434434	1213213442132344	19404	fallback_evaluated_by_x_component_coloring	0	no		3	3	5.357		All_Pairings_0727.tsv
7	1111222233434434	1213214213233444	19458	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.958		All_Pairings_0727.tsv
7	1111222233434434	1213214213243344	19461	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.744		All_Pairings_0727.tsv
7	1111222233434434	1213214213342344	19466	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	11	11.992		All_Pairings_0727.tsv
7	1111222233434434	1213214312233444	19509	fallback_evaluated_by_x_component_coloring	0	no		4	4	13.290		All_Pairings_0727.tsv
7	1111222233434434	1213214312243344	19512	fallback_evaluated_by_x_component_coloring	0	no		12	7	177.192		All_Pairings_0727.tsv
7	1111222233434434	1213214314232344	19527	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	9	13.669		All_Pairings_0727.tsv
7	1111222233434434	1213214323142344	19549	fallback_evaluated_by_x_component_coloring	0	no		2	4	5.086		All_Pairings_0727.tsv
7	1111222233434434	1213214324132344	19558	fallback_evaluated_by_x_component_coloring	0	no		6	5	38.019		All_Pairings_0727.tsv
7	1111222233434434	1231112224333444	20602	fallback_evaluated_by_x_component_coloring	0	no		4	7	20.527		All_Pairings_0727.tsv
7	1111222233434434	1231112224343344	20605	fallback_evaluated_by_x_component_coloring	0	no		2	6	10.011		All_Pairings_0727.tsv
7	1111222233434434	1231112324243344	20685	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.114		All_Pairings_0727.tsv
7	1111222233434434	1231112324432344	20695	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.490		All_Pairings_0727.tsv
7	1111222233434434	1231112423233444	20724	fallback_evaluated_by_x_component_coloring	0	no		2	6	8.302		All_Pairings_0727.tsv
7	1111222233434434	1231112423243344	20727	fallback_evaluated_by_x_component_coloring	0	no		2	4	5.628		All_Pairings_0727.tsv
7	1111222233434434	1231112423342344	20732	fallback_evaluated_by_x_component_coloring	0	no		4	4	12.017		All_Pairings_0727.tsv
7	1111222233434434	1231112432233444	20740	fallback_evaluated_by_x_component_coloring	0	no		4	5	12.466		All_Pairings_0727.tsv
7	1111222233434434	1231112432243344	20743	fallback_evaluated_by_x_component_coloring	0	no		4	6	19.049		All_Pairings_0727.tsv
7	1111222233434434	1231112434232344	20758	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.829		All_Pairings_0727.tsv
7	1111222233434434	1231114223233444	20766	fallback_evaluated_by_x_component_coloring	0	no		10	9	113.567		All_Pairings_0727.tsv
7	1111222233434434	1231114223243344	20769	fallback_evaluated_by_x_component_coloring	0	no		6	5	31.796		All_Pairings_0727.tsv
7	1111222233434434	1231114223342344	20774	fallback_evaluated_by_x_component_coloring	0	no		4	4	10.886		All_Pairings_0727.tsv
7	1111222233434434	1231121224333444	20812	fallback_evaluated_by_x_component_coloring	0	no		2	7	12.324		All_Pairings_0727.tsv
7	1111222233434434	1231121224343344	20815	fallback_evaluated_by_x_component_coloring	0	no		1	6	6.830		All_Pairings_0727.tsv
7	1111222233434434	1231121324243344	20895	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	8	2.282		All_Pairings_0727.tsv
7	1111222233434434	1231121324432344	20905	fallback_evaluated_by_x_component_coloring	0	no		1	6	3.678		All_Pairings_0727.tsv
7	1111222233434434	1231121423233444	20934	fallback_evaluated_by_x_component_coloring	0	no		2	5	5.705		All_Pairings_0727.tsv
7	1111222233434434	1231121423243344	20937	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.103		All_Pairings_0727.tsv
7	1111222233434434	1231121423342344	20942	fallback_evaluated_by_x_component_coloring	0	no		2	5	5.008		All_Pairings_0727.tsv
7	1111222233434434	1231121432233444	20950	fallback_evaluated_by_x_component_coloring	0	no		4	6	16.162		All_Pairings_0727.tsv
7	1111222233434434	1231121432243344	20953	fallback_evaluated_by_x_component_coloring	0	no		12	8	151.810		All_Pairings_0727.tsv
7	1111222233434434	1231121434232344	20968	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	5	9	6.031		All_Pairings_0727.tsv
7	1111222233434434	1231122314243344	21063	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.098		All_Pairings_0727.tsv
7	1111222233434434	1231122413233444	21136	fallback_evaluated_by_x_component_coloring	0	no		1	6	5.214		All_Pairings_0727.tsv
7	1111222233434434	1231122413243344	21139	fallback_evaluated_by_x_component_coloring	0	no		2	5	5.855		All_Pairings_0727.tsv
7	1111222233434434	1231122413342344	21144	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	5	10	13.515		All_Pairings_0727.tsv
7	1111222233434434	1231122433142344	21171	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.623		All_Pairings_0727.tsv
7	1111222233434434	1231122434132344	21180	fallback_evaluated_by_x_component_coloring	0	no		1	4	1.221		All_Pairings_0727.tsv
7	1111222233434434	1231123214243344	21265	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.957		All_Pairings_0727.tsv
7	1111222233434434	1231123412243344	21336	fallback_evaluated_by_x_component_coloring	0	no		1	4	1.229		All_Pairings_0727.tsv
7	1111222233434434	1231123414232344	21351	fallback_evaluated_by_x_component_coloring	0	no		2	2	2.042		All_Pairings_0727.tsv
7	1111222233434434	1231123424132344	21382	fallback_evaluated_by_x_component_coloring	0	no		1	2	0.987		All_Pairings_0727.tsv
7	1111222233434434	1231123442132344	21396	fallback_evaluated_by_x_component_coloring	0	no		2	1	2.066		All_Pairings_0727.tsv
7	1111222233434434	1231124213233444	21450	fallback_evaluated_by_x_component_coloring	0	no		1	5	2.721		All_Pairings_0727.tsv
7	1111222233434434	1231124213243344	21453	fallback_evaluated_by_x_component_coloring	0	no		1	5	1.993		All_Pairings_0727.tsv
7	1111222233434434	1231124213342344	21458	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	7	2.054		All_Pairings_0727.tsv
7	1111222233434434	1231124312233444	21501	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.239		All_Pairings_0727.tsv
7	1111222233434434	1231124312243344	21504	fallback_evaluated_by_x_component_coloring	0	no		8	5	47.918		All_Pairings_0727.tsv
7	1111222233434434	1231124314232344	21519	fallback_evaluated_by_x_component_coloring	0	no		4	2	5.822		All_Pairings_0727.tsv
7	1111222233434434	1231124323142344	21541	fallback_evaluated_by_x_component_coloring	1	no		2	4	7.681		All_Pairings_0727.tsv
7	1111222233434434	1231124324132344	21550	fallback_evaluated_by_x_component_coloring	0	no		3	3	6.034		All_Pairings_0727.tsv
7	1111222233434434	1231141223233444	21576	fallback_evaluated_by_x_component_coloring	0	no		5	7	44.810		All_Pairings_0727.tsv
7	1111222233434434	1231141223243344	21579	fallback_evaluated_by_x_component_coloring	0	no		3	5	11.991		All_Pairings_0727.tsv
7	1111222233434434	1231141223342344	21584	fallback_evaluated_by_x_component_coloring	0	no		2	4	6.349		All_Pairings_0727.tsv
7	1111222233434434	1231142213233444	21660	fallback_evaluated_by_x_component_coloring	0	no		3	5	12.287		All_Pairings_0727.tsv
7	1111222233434434	1231142213243344	21663	fallback_evaluated_by_x_component_coloring	0	no		3	5	11.200		All_Pairings_0727.tsv
7	1111222233434434	1231142213342344	21668	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	15	35.067		All_Pairings_0727.tsv
7	1111222233434434	1231142312233444	21711	fallback_evaluated_by_x_component_coloring	0	no		2	4	6.156		All_Pairings_0727.tsv
7	1111222233434434	1231142312243344	21714	fallback_evaluated_by_x_component_coloring	0	no		4	4	11.822		All_Pairings_0727.tsv
7	1111222233434434	1231142314232344	21729	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.581		All_Pairings_0727.tsv
7	1111222233434434	1231142323142344	21751	fallback_evaluated_by_x_component_coloring	0	no		3	3	5.355		All_Pairings_0727.tsv
7	1111222233434434	1231142324132344	21760	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.951		All_Pairings_0727.tsv
7	1111222233434434	1234111223233444	23568	fallback_evaluated_by_x_component_coloring	0	no		3	4	8.346		All_Pairings_0727.tsv
7	1111222233434434	1234111223243344	23571	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.842		All_Pairings_0727.tsv
7	1111222233434434	1234111223342344	23576	fallback_evaluated_by_x_component_coloring	0	no		1	3	1.078		All_Pairings_0727.tsv
7	1111222233434434	1234112213233444	23652	fallback_evaluated_by_x_component_coloring	0	no		2	3	3.776		All_Pairings_0727.tsv
7	1111222233434434	1234112213243344	23655	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.874		All_Pairings_0727.tsv
7	1111222233434434	1234112213342344	23660	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	9	4.076		All_Pairings_0727.tsv
7	1111222233434434	1234112312233444	23703	fallback_evaluated_by_x_component_coloring	0	no		1	3	1.295		All_Pairings_0727.tsv
7	1111222233434434	1234112312243344	23706	fallback_evaluated_by_x_component_coloring	0	no		2	3	2.524		All_Pairings_0727.tsv
7	1111222233434434	1234112314232344	23721	fallback_evaluated_by_x_component_coloring	0	no		1	2	0.992		All_Pairings_0727.tsv
7	1111222233434434	1234112323142344	23743	fallback_evaluated_by_x_component_coloring	0	no		2	1	1.966		All_Pairings_0727.tsv
7	1111222233434434	1234112324132344	23752	fallback_evaluated_by_x_component_coloring	0	no		1	2	1.107		All_Pairings_0727.tsv
7	1111222233434434	1234121213233444	23820	fallback_evaluated_by_x_component_coloring	0	no		1	3	1.438		All_Pairings_0727.tsv
7	1111222233434434	1234121213243344	23823	fallback_evaluated_by_x_component_coloring	0	no		1	3	0.991		All_Pairings_0727.tsv
7	1111222233434434	1234121213342344	23828	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	5	1.903		All_Pairings_0727.tsv
7	1111222233434434	1234121312233444	23871	fallback_evaluated_by_x_component_coloring	0	no		2	2	2.751		All_Pairings_0727.tsv
7	1111222233434434	1234121312243344	23874	fallback_evaluated_by_x_component_coloring	0	no		4	4	20.097		All_Pairings_0727.tsv
7	1111222233434434	1234121314232344	23889	fallback_evaluated_by_x_component_coloring	0	no		2	2	2.079		All_Pairings_0727.tsv
7	1111222233434434	1234121323142344	23911	fallback_evaluated_by_x_component_coloring	0	no		1	2	1.018		All_Pairings_0727.tsv
7	1111222233434434	1234121324132344	23920	fallback_evaluated_by_x_component_coloring	0	no		2	2	1.997		All_Pairings_0727.tsv
7	1111222233434434	1234123112233444	23941	fallback_evaluated_by_x_component_coloring	0	no		1	2	1.345		All_Pairings_0727.tsv
7	1111222233434434	1234123112243344	23944	fallback_evaluated_by_x_component_coloring	0	no		2	3	3.694		All_Pairings_0727.tsv
7	1111222233434434	1234123114232344	23959	fallback_evaluated_by_x_component_coloring	0	no		2	2	1.955		All_Pairings_0727.tsv
7	1111222233434434	1234123412132344	24018	fallback_evaluated_by_x_component_coloring	-1	no		1	1	1.008		All_Pairings_0727.tsv
7	1111222233434434	1211132224333444		fallback_evaluated_by_x_component_coloring	0	no		22	12	405.093858		All_Pairings_0727.tsv
9	1111222233443434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	50	470.640		All_Pairings_0727.tsv
9	1111222233443434	1122113324423344	6587	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	16	37	294.869		All_Pairings_0727.tsv
9	1111222233443434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		12	8	135.515		All_Pairings_0727.tsv
9	1111222233443434	1122113434223344	6650	fallback_evaluated_by_x_component_coloring	0	no		8	6	50.740		All_Pairings_0727.tsv
9	1111222233443434	1122131324243344	7047	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	28	89.127		All_Pairings_0727.tsv
9	1111222233443434	1122131324423344	7055	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	21	66.308		All_Pairings_0727.tsv
9	1111222233443434	1122131432243344	7105	fallback_evaluated_by_x_component_coloring	0	no		8	6	53.338		All_Pairings_0727.tsv
9	1111222233443434	1122131434223344	7118	fallback_evaluated_by_x_component_coloring	0	no		4	6	16.185		All_Pairings_0727.tsv
9	1111222233443434	1122133214243344	7417	fallback_evaluated_by_x_component_coloring	0	no		8	9	94.703		All_Pairings_0727.tsv
9	1111222233443434	1122133412243344	7488	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	13	9.532		All_Pairings_0727.tsv
9	1111222233443434	1122133414223344	7501	fallback_evaluated_by_x_component_coloring	0	no		8	5	51.610		All_Pairings_0727.tsv
9	1111222233443434	1122133424123344	7532	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	9	7.729		All_Pairings_0727.tsv
9	1111222233443434	1122133442123344	7546	fallback_evaluated_by_x_component_coloring	0	no		2	4	3.300		All_Pairings_0727.tsv
9	1111222233443434	1122134312243344	7656	fallback_evaluated_by_x_component_coloring	0	no		4	6	14.269		All_Pairings_0727.tsv
9	1111222233443434	1122134324123344	7700	fallback_evaluated_by_x_component_coloring	0	no		2	4	3.048		All_Pairings_0727.tsv
9	1111222233443434	1123211324243344	10323	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	5	13	18.141		All_Pairings_0727.tsv
9	1111222233443434	1123211324423344	10331	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.094		All_Pairings_0727.tsv
9	1111222233443434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		6	7	30.141		All_Pairings_0727.tsv
9	1111222233443434	1123211434223344	10394	fallback_evaluated_by_x_component_coloring	0	no		4	6	12.831		All_Pairings_0727.tsv
9	1111222233443434	1123213214243344	10693	fallback_evaluated_by_x_component_coloring	0	no		4	6	23.776		All_Pairings_0727.tsv
