w_idx	w_word	x_word	x_index	status	final_pairing_value	used_three_strand_relation	pairing_value_warning	active_term_count	discharged_term_count	elapsed_sec	error
444	1111234232234434	1213211224333444	18820	fallback_evaluated_by_x_component_coloring	-1	no		2	7	8.384	
555	1112123223443434	1211322143324344	14233	fallback_evaluated_by_x_component_coloring	0	no		3	9	19.590	
654	1112123342234434	1211321224333444	14014	fallback_evaluated_by_x_component_coloring	-1	no		4	9	25.087	
735	1112132232434434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	28	96.871	
750	1112132234234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		4	10	29.416	
791	1112132322434434	1211312224333444	13804	fallback_evaluated_by_x_component_coloring	-1	no		10	9	117.318	
806	1112132324234434	1122313122443344	8114	fallback_evaluated_by_x_component_coloring	0	no		3	8	17.372	
822	1112132342234434	1211312224333444	13804	fallback_evaluated_by_x_component_coloring	-1	no		4	9	25.979	
906	1112134232234434	1122311322443344	7800	fallback_evaluated_by_x_component_coloring	0	no		3	10	23.493	
1690	1112232134423434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	1	no		4	12	55.240	
2017	1112233412344234	1231112243323444	20652	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.348	
2185	1112234312344234	1231211243323444	21840	fallback_evaluated_by_x_component_coloring	-1	no		1	6	2.547	
2251	1112312223434434	1211132243233444	12319	fallback_evaluated_by_x_component_coloring	-1	yes	WARNING: 3-strand relation used	3	16	15.711	
2265	1112312232434434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		4	11	38.583	
2280	1112312234234434	1122131322443344	7032	fallback_evaluated_by_x_component_coloring	0	no		2	10	23.979	
2336	1112312324234434	1211132242333444	12314	fallback_evaluated_by_x_component_coloring	-1	yes	WARNING: 3-strand relation used	2	16	11.689	
2352	1112312342234434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	-1	no		2	11	26.226	
2436	1112314232234434	1122131322443344	7032	fallback_evaluated_by_x_component_coloring	0	no		4	11	39.950	
2490	1112321234234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		1	12	26.863	
3163	1112324312344234	1231121243323444	20862	fallback_evaluated_by_x_component_coloring	1	no		1	6	2.669	
3285	1112342123434234	1231112432233444	20740	fallback_evaluated_by_x_component_coloring	-1	no		1	7	5.003	
92	1111223223443344	1123211432243434	10382	fallback_evaluated_by_x_component_coloring	0	no		4	6	17.826	
93	1111223223443434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	18.737	
158	1111223322344434	1213122124333444	18010	fallback_evaluated_by_x_component_coloring	0	no		4	6	16.524	
176	1111223324234434	1123211322443344	10308	fallback_evaluated_by_x_component_coloring	0	no		4	7	16.395	
157	1111223322344344	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	0	no		10	11	199.333	
192	1111223342234434	1213211224333444	18820	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.728	
234	1111223432234434	1122133212443344	7402	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.938	
259	1111232223434434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.078	
261	1111232223443434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	15.088	
275	1111232232443434	1122113324423344	6587	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	26	63.336	
273	1111232232434434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		5	12	103.807	
289	1111232234243344	1112221333442434	1222	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	12	11.012	
288	1111232234234434	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	1	no		2	8	13.248	
290	1111232234243434	1212113322443344	15144	fallback_evaluated_by_x_component_coloring	0	no		2	11	21.698	
297	1111232234423344	1123211432243434	10382	fallback_evaluated_by_x_component_coloring	0	no		2	7	10.950	
301	1111232234434234	1213211432233444	18958	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.254	
298	1111232234423434	1212113322443344	15144	fallback_evaluated_by_x_component_coloring	0	no		2	12	26.999	
299	1111232234432344	1122112333244434	6443	fallback_evaluated_by_x_component_coloring	0	no		8	6	45.950	
325	1111232322344344	1213212124333444	18988	fallback_evaluated_by_x_component_coloring	0	no		2	6	7.702	
329	1111232322434434	1122113324432344	6589	fallback_evaluated_by_x_component_coloring	0	no		4	7	18.701	
344	1111232324234434	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	0	no		2	9	16.892	
360	1111232342234434	1122113324432344	6589	fallback_evaluated_by_x_component_coloring	0	no		4	8	19.822	
441	1111234223434234	1213211243233444	18865	fallback_proved_zero	0	no		0	4	0.994	
452	1111234232344234	1213211423323444	18947	fallback_proved_zero	0	no		0	4	0.899	
444	1111234232234434	1123211322443344	10308	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.630	
555	1112123223443434	1122331144223344	8542	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.856	
654	1112123342234434	1122331212443344	8554	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.560	
750	1112132234234434	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.407	
735	1112132232434434	1211312224333444	13804	fallback_evaluated_by_x_component_coloring	0	no		10	9	132.601	
791	1112132322434434	1211312243233444	13849	fallback_partial		yes	WARNING: 3-strand relation used	7	17	39.568	
806	1112132324234434	1122331122443344	8498	fallback_evaluated_by_x_component_coloring	0	no		1	8	9.504	
822	1112132342234434	1122313212443344	8170	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.676	
903	1112134223434234	1231211243233444	21835	fallback_proved_zero	0	no		0	4	0.517	
906	1112134232234434	1122331212443344	8554	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.510	
914	1112134232344234	1231211423323444	21917	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.533	
1634	1112231432344234	1231421123323444	23321	fallback_evaluated_by_x_component_coloring	0	no		1	4	0.542	
1690	1112232134423434	1211213322443344	12636	fallback_evaluated_by_x_component_coloring	1	no		2	12	33.296	
1828	1112232431234434	1231213124432344	22197	fallback_evaluated_by_x_component_coloring	1	no		1	5	1.831	
2030	1112233421234434	1231112234432344	20639	fallback_evaluated_by_x_component_coloring	0	no		1	4	0.174	
2100	1112234132234434	1231211324432344	21883	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.651	
2108	1112234132344234	1231211423323444	21917	fallback_evaluated_by_x_component_coloring	1	no		1	6	3.518	
2142	1112234231234434	1231211324432344	21883	fallback_evaluated_by_x_component_coloring	1	no		1	6	4.100	
2251	1112312223434434	1211132432233444	12412	fallback_evaluated_by_x_component_coloring	-1	no		1	9	13.628	
2280	1112312234234434	1211132422333444	12391	fallback_evaluated_by_x_component_coloring	-1	yes	WARNING: 3-strand relation used	3	16	20.185	
2265	1112312232434434	1211132423233444	12396	fallback_partial		yes	WARNING: 3-strand relation used	5	18	38.066	
2336	1112312324234434	1122133122443344	7346	fallback_evaluated_by_x_component_coloring	0	no		1	11	23.393	
2352	1112312342234434	1122133212443344	7402	fallback_evaluated_by_x_component_coloring	0	no		1	9	13.930	
2490	1112321234234434	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	0	no		1	9	14.101	
2436	1112314232234434	1211132422333444	12391	fallback_partial		yes	WARNING: 3-strand relation used	5	19	44.129	
3075	1112324123434234	1231121432233444	20950	fallback_evaluated_by_x_component_coloring	1	no		1	7	5.414	
3101	1112324212343434	1231121243324344	20863	fallback_proved_zero	0	no		0	4	0.529	
3162	1112324312342434	1231121243324344	20863	fallback_evaluated_by_x_component_coloring	-1	no		1	6	2.904	
3372	1112342312342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	-1	no		1	7	6.039	
93	1111223223443434	1213211432234344	18959	fallback_evaluated_by_x_component_coloring	0	no		2	6	6.355	
92	1111223223443344	1213211432233444	18958	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.227	
150	1111223243423344	1123211324432434	10334	fallback_evaluated_by_x_component_coloring	0	no		4	9	42.124	
157	1111223322344344	1213122124333444	18010	fallback_evaluated_by_x_component_coloring	0	no		4	6	15.495	
158	1111223322344434	1213211224333444	18820	fallback_evaluated_by_x_component_coloring	0	no		2	7	10.650	
176	1111223324234434	1123231122443344	11006	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.715	
192	1111223342234434	1123231212443344	11062	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.105	
200	1111223342344234	1213211423323444	18947	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.610	
234	1111223432234434	1213122124333444	18010	fallback_evaluated_by_x_component_coloring	-1	no		4	6	13.101	
273	1111232232434434	1122113324432344	6589	fallback_evaluated_by_x_component_coloring	0	no		4	7	16.808	
259	1111232223434434	1122113342243344	6595	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	24	59.128	
261	1111232223443434	1122113342243344	6595	fallback_evaluated_by_x_component_coloring	1	yes	WARNING: 3-strand relation used	8	22	67.996	
290	1111232234243434	1231114222334344	20762	fallback_evaluated_by_x_component_coloring	1	no		2	7	9.913	
288	1111232234234434	1123211322443344	10308	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.632	
289	1111232234243344	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	1	no		4	7	15.014	
297	1111232234423344	1213211432233444	18958	fallback_evaluated_by_x_component_coloring	0	no		2	7	8.223	
301	1111232234434234	1213114222333444	17791	fallback_proved_zero	0	no		0	4	3.006	
275	1111232232443434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		5	12	84.779	
298	1111232234423434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		2	12	29.167	
299	1111232234432344	1122113322434434	6563	fallback_evaluated_by_x_component_coloring	0	no		6	10	65.602	
325	1111232322344344	1231112224333444	20602	fallback_evaluated_by_x_component_coloring	0	no		2	8	13.577	
344	1111232324234434	1122113342432344	6605	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	15	10.029	
329	1111232322434434	1122113342243344	6595	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	26	56.465	
360	1111232342234434	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	0	no		2	10	19.966	
383	1111232422343434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	7	8.235	
409	1111232432342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	7	7.790	
410	1111232432344234	1231112243323444	20652	fallback_evaluated_by_x_component_coloring	0	no		1	8	7.207	
444	1111234232234434	1213211432432344	18971	fallback_proved_zero	0	no		0	4	0.643	
440	1111234223432434	1123211344223344	10352	fallback_evaluated_by_x_component_coloring	0	no		1	8	7.223	
555	1112123223443434	1231211432243344	21931	fallback_evaluated_by_x_component_coloring	-1	no		3	9	19.815	
654	1112123342234434	1231211224333444	21790	fallback_evaluated_by_x_component_coloring	0	no		2	6	7.191	
677	1112123422343434	1122331124423344	8521	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.228	
704	1112123432344234	1231421123323444	23321	fallback_evaluated_by_x_component_coloring	-1	no		1	4	0.115	
703	1112123432342434	1122331124423344	8521	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.299	
735	1112132232434434	1122113324432344	6589	fallback_evaluated_by_x_component_coloring	0	no		4	7	17.589	
750	1112132234234434	1122311322443344	7800	fallback_evaluated_by_x_component_coloring	0	no		2	9	19.421	
756	1112132234342344	1231112432324434	20747	fallback_evaluated_by_x_component_coloring	0	no		1	6	3.772	
791	1112132322434434	1122331144232344	8544	fallback_evaluated_by_x_component_coloring	0	no		4	5	8.568	
806	1112132324234434	1211312242333444	13844	fallback_evaluated_by_x_component_coloring	-1	yes	WARNING: 3-strand relation used	3	14	11.843	
822	1112132342234434	1211314222333444	13963	fallback_evaluated_by_x_component_coloring	0	no		3	8	14.364	
898	1112134223344234	1231211243323444	21840	fallback_evaluated_by_x_component_coloring	0	no		1	7	3.318	
902	1112134223432434	1122311344223344	7844	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.410	
906	1112134232234434	1231211224333444	21790	fallback_evaluated_by_x_component_coloring	-1	no		2	6	5.949	
1605	1112231422334434	1231213124432344	22197	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.173	
1617	1112231423342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.671	
1634	1112231432344234	1231214123323444	22391	fallback_evaluated_by_x_component_coloring	1	no		1	5	1.356	
1643	1112231434232434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.525	
1690	1112232134423434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		5	8	26.038	
2014	1112233412324434	1231112243342344	20655	fallback_evaluated_by_x_component_coloring	0	no		1	6	3.419	
2016	1112233412342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.667	
2030	1112233421234434	1231213124432344	22197	fallback_evaluated_by_x_component_coloring	0	no		1	5	1.540	
2032	1112233421243434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.481	
2105	1112234132324434	1231211324432344	21883	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.270	
2190	1112234312434234	1231211243233444	21835	fallback_evaluated_by_x_component_coloring	1	no		1	6	2.458	
2184	1112234312342434	1122311344223344	7844	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.486	
2251	1112312223434434	1122131342243344	7063	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	3	10	8.815	
2265	1112312232434434	1211132432233444	12412	fallback_evaluated_by_x_component_coloring	0	no		1	8	8.505	
2280	1112312234234434	1122131432432344	7115	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.878	
2336	1112312324234434	1122133142432344	7387	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.866	
2352	1112312342234434	1122133214432344	7427	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.628	
2444	1112314232344234	1231121423323444	20939	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.461	
2436	1112314232234434	1231121224333444	20812	fallback_evaluated_by_x_component_coloring	-1	no		2	7	9.866	
2498	1112321234344234	1231124321323444	21527	fallback_evaluated_by_x_component_coloring	-1	no		1	4	0.111	
2490	1112321234234434	1211134222333444	12433	fallback_evaluated_by_x_component_coloring	-1	no		1	9	11.696	
3073	1112324123432344	1211132432234434	12414	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.665	
3086	1112324132344234	1231121423323444	20939	fallback_evaluated_by_x_component_coloring	-1	no		1	6	2.565	
92	1111223223443344	1112221343342434	1254	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	17	35.430	
93	1111223223443434	1122131342243344	7063	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	22	68.624	
158	1111223322344434	1231121224333444	20812	fallback_evaluated_by_x_component_coloring	0	no		4	6	12.146	
176	1111223324234434	1122131342432344	7073	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	4	12	8.973	
157	1111223322344344	1112221334432434	1238	fallback_evaluated_by_x_component_coloring	0	no		11	6	105.946	
192	1111223342234434	1122131324432344	7057	fallback_evaluated_by_x_component_coloring	0	no		4	7	16.403	
201	1111223342423344	1123211324432434	10334	fallback_evaluated_by_x_component_coloring	0	no		4	9	38.292	
234	1111223432234434	1122133214432344	7427	fallback_evaluated_by_x_component_coloring	0	no		8	6	43.467	
259	1111232223434434	1213211432233444	18958	fallback_evaluated_by_x_component_coloring	0	no		2	7	12.286	
261	1111232223443434	1122113344223344	6608	fallback_evaluated_by_x_component_coloring	0	no		4	6	16.492	
273	1111232232434434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.238	
275	1111232232443434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	14.825	
288	1111232234234434	1122113432432344	6647	fallback_evaluated_by_x_component_coloring	0	no		2	6	4.365	
289	1111232234243344	1231114222334434	20763	fallback_evaluated_by_x_component_coloring	1	no		2	6	5.546	
290	1111232234243434	1123211322443344	10308	fallback_evaluated_by_x_component_coloring	0	no		2	9	14.472	
296	1111232234344234	1213112432323444	17775	fallback_proved_zero	0	no		0	4	0.459	
301	1111232234434234	1213112422333444	17749	fallback_proved_zero	0	no		0	4	0.648	
297	1111232234423344	1231114222343434	20765	fallback_evaluated_by_x_component_coloring	1	no		2	6	4.912	
299	1111232234432344	1212112333244434	15023	fallback_evaluated_by_x_component_coloring	0	no		4	6	9.324	
298	1111232234423434	1123211432243344	10381	fallback_evaluated_by_x_component_coloring	0	no		2	8	11.318	
325	1111232322344344	1213212143324434	19040	fallback_evaluated_by_x_component_coloring	1	no		5	8	24.794	
329	1111232322434434	1213112224333444	17632	fallback_evaluated_by_x_component_coloring	-1	no		6	9	54.823	
340	1111232323442434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	4.906	
344	1111232324234434	1123213122443344	10622	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.041	
351	1111232324342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	8	9.126	
360	1111232342234434	1213112224333444	17632	fallback_evaluated_by_x_component_coloring	-1	no		4	8	21.469	
383	1111232422343434	1123213144223344	10666	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.673	
393	1111232423342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	8	10.058	
398	1111232423432434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	4.882	
407	1111232432324434	1231112243342344	20655	fallback_evaluated_by_x_component_coloring	0	no		4	5	8.615	
444	1111234232234434	1123211432432344	10391	fallback_proved_zero	0	no		0	4	0.958	
414	1111232432432434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		4	6	9.955	
419	1111232434232434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		1	9	9.045	
555	1112123223443434	1211321432243344	14155	fallback_evaluated_by_x_component_coloring	0	no		3	8	15.091	
645	1112123324342434	1122311344223344	7844	fallback_evaluated_by_x_component_coloring	0	no		1	8	6.500	
654	1112123342234434	1211322412333444	14333	fallback_evaluated_by_x_component_coloring	0	no		1	8	9.338	
680	1112123423234434	1122331142432344	8539	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.688	
708	1112123432432434	1122331124423344	8521	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.328	
735	1112132232434434	1231112224333444	20602	fallback_evaluated_by_x_component_coloring	0	no		4	7	15.496	
750	1112132234234434	1211312422333444	13921	fallback_evaluated_by_x_component_coloring	-1	yes	WARNING: 3-strand relation used	4	14	13.825	
758	1112132234344234	1231112432323444	20745	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.941	
791	1112132322434434	1211314232233444	13984	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.212	
806	1112132324234434	1122331142432344	8539	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.524	
822	1112132342234434	1122313214432344	8195	fallback_evaluated_by_x_component_coloring	0	no		2	8	9.680	
897	1112134223342434	1122311344223344	7844	fallback_evaluated_by_x_component_coloring	0	no		1	8	6.065	
906	1112134232234434	1122311324432344	7825	fallback_evaluated_by_x_component_coloring	0	no		2	7	7.179	
1006	1112212343432344	1211233213244434	13479	fallback_evaluated_by_x_component_coloring	0	no		2	7	7.249	
1473	1112223434312344	1211233231244434	13505	fallback_proved_zero	0	no		0	4	0.680	
1575	1112231324342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.894	
1618	1112231423344234	1231112243323444	20652	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.446	
1622	1112231423432434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.808	
1690	1112232134423434	1231211432243344	21931	fallback_evaluated_by_x_component_coloring	0	no		3	10	22.569	
1905	1112233142342434	1231112423324344	20730	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.364	
2026	1112233414232434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.725	
2066	1112233441232434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.639	
2079	1112234122334434	1231211324432344	21883	fallback_evaluated_by_x_component_coloring	0	no		1	7	4.444	
2121	1112234212334434	1231211243233444	21835	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.505	
2120	1112234212334344	1231211243233444	21835	fallback_evaluated_by_x_component_coloring	0	no		2	5	3.513	
2251	1112312223434434	1122131344232344	7078	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.740	
2280	1112312234234434	1122133421432344	7519	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	1	10	1.665	
2265	1112312232434434	1231121224333444	20812	fallback_evaluated_by_x_component_coloring	0	no		2	7	10.328	
2352	1112312342234434	1231142213432344	21673	fallback_evaluated_by_x_component_coloring	1	no		1	5	0.811	
2336	1112312324234434	1122133241432344	7463	fallback_evaluated_by_x_component_coloring	0	no		2	7	8.617	
2436	1112314232234434	1122131324432344	7057	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.170	
2490	1112321234234434	1231124321432344	21535	fallback_evaluated_by_x_component_coloring	-1	no		1	5	0.787	
2497	1112321234342434	1231124321324344	21528	fallback_evaluated_by_x_component_coloring	-1	no		1	5	2.400	
2770	1112322343412344	1211123323244434	12179	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.510	
2868	1112323124344234	1231121432323444	20955	fallback_evaluated_by_x_component_coloring	0	no		1	6	2.341	
3070	1112324123344234	1231121432323444	20955	fallback_evaluated_by_x_component_coloring	1	no		1	6	2.418	
3091	1112324132434234	1231121432233444	20950	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.164	
3238	1112341223344234	1231112243323444	20652	fallback_evaluated_by_x_component_coloring	0	no		1	7	5.222	
3237	1112341223342434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.375	
3382	1112342314232434	1231112243324344	20653	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.469	
84	1111222343434234	1231124312233444	21501	fallback_evaluated_by_x_component_coloring	0	no		2	4	2.597	
92	1111223223443344	1213211432234434	18960	fallback_evaluated_by_x_component_coloring	0	no		4	6	12.298	
93	1111223223443434	1122131344223344	7076	fallback_evaluated_by_x_component_coloring	0	no		4	6	15.323	
117	1111223233444234	1213211423323444	18947	fallback_evaluated_by_x_component_coloring	0	no		4	5	6.711	
157	1111223322344344	1213211224333444	18820	fallback_evaluated_by_x_component_coloring	0	no		2	7	9.423	
176	1111223324234434	1122131432432344	7115	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.203	
192	1111223342234434	1122133412432344	7498	fallback_evaluated_by_x_component_coloring	0	no		4	4	7.025	
191	1111223342234344	1123211324432434	10334	fallback_evaluated_by_x_component_coloring	0	no		3	8	22.090	
215	1111223422343434	1123231124423344	11029	fallback_evaluated_by_x_component_coloring	0	no		2	5	3.340	
206	1111223344223344	1123211324432434	10334	fallback_evaluated_by_x_component_coloring	0	no		8	8	72.440	
234	1111223432234434	1212133214432344	16007	fallback_evaluated_by_x_component_coloring	0	no		4	6	9.426	
242	1111223432344234	1213241123323444	19889	fallback_evaluated_by_x_component_coloring	0	no		1	5	1.643	
259	1111232223434434	1122113344232344	6610	fallback_evaluated_by_x_component_coloring	0	no		2	6	5.797	
261	1111232223443434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.305	
275	1111232232443434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		4	7	16.235	
158	1111223322344434	1122131324423344	7055	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	33	306.287	
273	1111232232434434	1213112224333444	17632	fallback_evaluated_by_x_component_coloring	0	no		6	8	38.034	
288	1111232234234434	1213211432432344	18971	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	1	11	3.563	
290	1111232234243434	1122113432423344	6645	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	2	15	8.220	
301	1111232234434234	1213112432233444	17770	fallback_proved_zero	0	no		0	4	1.121	
299	1111232234432344	1231114222334434	20763	fallback_evaluated_by_x_component_coloring	1	no		2	6	5.539	
297	1111232234423344	1213214321432434	19544	fallback_evaluated_by_x_component_coloring	0	no		4	6	10.074	
289	1111232234243344	1212113322443434	15145	fallback_evaluated_by_x_component_coloring	0	no		5	9	30.825	
298	1111232234423434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		4	8	17.196	
329	1111232322434434	1122113344232344	6610	fallback_evaluated_by_x_component_coloring	0	no		4	6	11.582	
325	1111232322344344	1231112243324434	20654	fallback_evaluated_by_x_component_coloring	1	no		3	8	23.146	
341	1111232323444234	1231112243323444	20652	fallback_evaluated_by_x_component_coloring	0	no		2	6	4.510	
344	1111232324234434	1213114222333444	17791	fallback_evaluated_by_x_component_coloring	0	no		2	8	12.682	
360	1111232342234434	1231112224333444	20602	fallback_evaluated_by_x_component_coloring	0	no		2	8	11.450	
