w_idx	w_word	x_word	x_index	status	final_pairing_value	active_term_count	discharged_term_count	elapsed_sec	error
40	1111222333442344	1122123133244434	6765	fallback_evaluated_by_x_component_coloring	0	10	12	76.901	
41	1111222333442434	1211132243234344	12320	fallback_partial		14	27	165.476	
42	1111222333444234	1213112243233444	17677	fallback_proved_zero	0	0	4	0.339	
43	1111222334233444	1211132233444234	12297	fallback_evaluated_by_x_component_coloring	0	2	4	2.672	
44	1111222334234344	1213214321432434	19544	fallback_evaluated_by_x_component_coloring	0	3	7	3.767	
45	1111222334234434	1234112231432344	23681	fallback_evaluated_by_x_component_coloring	0	1	3	0.031	
46	1111222334243344	1211132232443434	12287	fallback_evaluated_by_x_component_coloring	0	12	7	83.418	
47	1111222334243434	1211123344223344	12218	fallback_evaluated_by_x_component_coloring	0	1	5	0.789	
48	1111222334323444	1213213122443344	19202	fallback_evaluated_by_x_component_coloring	0	6	6	7.795	
49	1111222334324344	1211132243342434	12328	fallback_evaluated_by_x_component_coloring	0	8	5	14.798	
50	1111222334324434	1122133142432344	7387	fallback_evaluated_by_x_component_coloring	0	4	6	4.235	
51	1111222334342344	1112234231324434	2147	fallback_evaluated_by_x_component_coloring	0	2	5	1.468	
52	1111222334342434	1122134132423344	7587	fallback_evaluated_by_x_component_coloring	0	2	14	6.976	
53	1111222334344234	1213124321323444	18557	fallback_evaluated_by_x_component_coloring	0	1	4	0.045	
54	1111222334423344	1122123331244434	6847	fallback_evaluated_by_x_component_coloring	0	8	5	19.549	
55	1111222334423434	1211132243243344	12322	fallback_evaluated_by_x_component_coloring	0	2	16	8.979	
56	1111222334432344	1213213231244434	19289	fallback_evaluated_by_x_component_coloring	0	2	4	0.953	
57	1111222334432434	1212133122443344	15926	fallback_evaluated_by_x_component_coloring	0	6	9	20.078	
59	1111222342333444	1231112223344434	20596	fallback_evaluated_by_x_component_coloring	0	1	5	1.702	
60	1111222342334344	1123123213244434	9705	fallback_evaluated_by_x_component_coloring	0	4	5	5.343	
61	1111222342334434	1213234412132344	19872	fallback_evaluated_by_x_component_coloring	0	1	2	0.043	
62	1111222342343344	1231124324312434	21554	fallback_evaluated_by_x_component_coloring	0	1	4	0.210	
63	1111222342343434	1231124213324344	21456	fallback_evaluated_by_x_component_coloring	0	1	6	0.865	
64	1111222343233444	1122133214434234	7429	fallback_partial		14	27	182.707	
65	1111222343234344	1211123322443434	12175	fallback_evaluated_by_x_component_coloring	0	3	7	3.229	
66	1111222343234434	1213213212443344	19258	fallback_evaluated_by_x_component_coloring	0	1	7	1.143	
67	1111222343243344	1231142213324434	21667	fallback_evaluated_by_x_component_coloring	0	6	7	11.429	
68	1111222343243434	1231114223324344	20772	fallback_evaluated_by_x_component_coloring	0	4	5	2.085	
69	1111222343323444	1212123313244434	15401	fallback_evaluated_by_x_component_coloring	0	3	6	2.870	
70	1111222343324344	1211123322443434	12175	fallback_evaluated_by_x_component_coloring	0	6	7	12.893	
71	1111222343324434	1231124213342344	21458	fallback_evaluated_by_x_component_coloring	0	3	6	0.156	
72	1111222343342344	1212123331424434	15430	fallback_evaluated_by_x_component_coloring	0	1	6	0.818	
73	1111222343342434	1213124321423344	18563	fallback_evaluated_by_x_component_coloring	0	1	5	0.220	
74	1111222343344234	1231124212333444	21445	fallback_proved_zero	0	0	4	0.053	
75	1111222343423344	1123243114232434	11486	fallback_evaluated_by_x_component_coloring	0	1	4	0.023	
76	1111222343423434	1213234112243344	19798	fallback_evaluated_by_x_component_coloring	0	1	5	0.209	
77	1111222343432344	1231142213324434	21667	fallback_evaluated_by_x_component_coloring	0	2	7	2.556	
78	1111222343432434	1231142213234344	21661	fallback_evaluated_by_x_component_coloring	0	2	4	0.942	
79	1111222343434234	1231124312233444	21501	fallback_evaluated_by_x_component_coloring	0	2	4	0.787	
80	1111223223343444	1234111222334434	23565	fallback_evaluated_by_x_component_coloring	0	2	3	18.051	
81	1111223223344344	1213211432423434	18970	fallback_evaluated_by_x_component_coloring	0	15	25	175.251	
82	1111223223344434	1122133241432344	7463	fallback_evaluated_by_x_component_coloring	0	16	6	113.892	
83	1111223223433444	1231121243324344	20863	fallback_evaluated_by_x_component_coloring	0	2	6	4.570	
84	1111223223434344	1231141232233444	21592	fallback_evaluated_by_x_component_coloring	0	5	5	8.649	
85	1111223223434434	1213241132233444	19900	fallback_evaluated_by_x_component_coloring	0	1	6	0.869	
86	1111223223443344	1213122143323444	18060	fallback_evaluated_by_x_component_coloring	0	6	7	15.363	
87	1111223223443434	1231122433124344	21169	fallback_evaluated_by_x_component_coloring	0	2	4	1.078	
88	1111223224334344	1211132243432434	12333	fallback_evaluated_by_x_component_coloring	0	4	6	8.656	
89	1111223224334434	1212131322443344	15612	fallback_evaluated_by_x_component_coloring	0	9	10	43.484	
90	1111223224343344	1231121243324434	20864	fallback_evaluated_by_x_component_coloring	0	5	5	9.223	
91	1111223224343434	1211132322443344	12342	fallback_evaluated_by_x_component_coloring	0	8	8	24.811	
92	1111223232343444	1112233214324434	1943	fallback_evaluated_by_x_component_coloring	0	2	7	4.128	
93	1111223232344344	1231142213323444	21665	fallback_evaluated_by_x_component_coloring	0	2	6	2.524	
94	1111223232344434	1211132324432344	12367	fallback_evaluated_by_x_component_coloring	0	2	5	0.947	
95	1111223232433444	1122133214434234	7429	fallback_evaluated_by_x_component_coloring	0	24	30	389.282	
96	1111223232434344	1112233214342434	1945	fallback_evaluated_by_x_component_coloring	0	4	6	4.151	
97	1111223232434434	1122133412243344	7488	fallback_evaluated_by_x_component_coloring	0	4	13	10.203	
98	1111223232443344	1211132434232434	12431	fallback_evaluated_by_x_component_coloring	0	2	4	0.896	
99	1111223232443434	1122133442123344	7546	fallback_evaluated_by_x_component_coloring	0	2	4	0.796	
100	1111223233243444	1231142213324434	21667	fallback_evaluated_by_x_component_coloring	0	8	6	28.810	
101	1111223233244344	1211132223434434	12271	fallback_evaluated_by_x_component_coloring	0	6	7	25.132	
102	1111223233244434	1213121223443344	17840	fallback_evaluated_by_x_component_coloring	0	3	5	5.725	
103	1111223233423444	1122132313244434	7205	fallback_evaluated_by_x_component_coloring	0	4	6	3.644	
104	1111223233424344	1234111223233444	23568	fallback_evaluated_by_x_component_coloring	0	4	4	4.003	
105	1111223233424434	1122131324243344	7047	fallback_evaluated_by_x_component_coloring	0	10	27	108.965	
106	1111223233442344	1212131323244434	15617	fallback_evaluated_by_x_component_coloring	0	2	6	1.669	
107	1111223233442434	1123231414223344	11161	fallback_evaluated_by_x_component_coloring	0	5	5	8.383	
109	1111223234233444	1211132422334344	12392	fallback_evaluated_by_x_component_coloring	0	9	34	128.362	
113	1111223234243434	1122133421423344	7517	fallback_evaluated_by_x_component_coloring	0	4	12	8.025	
114	1111223234323444	1122132331244434	7231	fallback_evaluated_by_x_component_coloring	0	4	5	2.226	
115	1111223234324344	1234111222333444	23563	fallback_evaluated_by_x_component_coloring	0	2	6	2.413	
116	1111223234324434	1123211432432344	10391	fallback_evaluated_by_x_component_coloring	0	1	7	1.588	
117	1111223234342344	1213142321324434	18769	fallback_evaluated_by_x_component_coloring	0	2	5	1.358	
118	1111223234342434	1213121432324344	17986	fallback_evaluated_by_x_component_coloring	0	1	6	0.869	
120	1111223234423344	1123122331244434	9529	fallback_evaluated_by_x_component_coloring	2	2	6	1.873	
122	1111223234432344	1211132322434434	12341	fallback_evaluated_by_x_component_coloring	0	4	6	3.716	
123	1111223234432434	1212133421243344	16089	fallback_evaluated_by_x_component_coloring	0	2	8	0.783	
125	1111223242333444	1123211432234434	10380	fallback_evaluated_by_x_component_coloring	0	4	6	8.863	
126	1111223242334344	1231122314432434	21074	fallback_evaluated_by_x_component_coloring	0	4	4	3.566	
127	1111223242334434	1122131432243344	7105	fallback_evaluated_by_x_component_coloring	0	8	6	17.638	
128	1111223242343344	1213121423323444	17969	fallback_evaluated_by_x_component_coloring	0	3	5	2.439	
129	1111223242343434	1213211423324344	18948	fallback_evaluated_by_x_component_coloring	0	2	6	1.591	
130	1111223243233444	1213243114223344	20063	fallback_evaluated_by_x_component_coloring	0	2	5	1.086	
131	1111223243234344	1211122333442434	12058	fallback_evaluated_by_x_component_coloring	0	3	5	2.072	
133	1111223243243344	1213122413323444	18171	fallback_evaluated_by_x_component_coloring	0	12	7	61.728	
134	1111223243243434	1213211223443344	18818	fallback_evaluated_by_x_component_coloring	0	1	5	0.683	
135	1111223243323444	1122132313244434	7205	fallback_evaluated_by_x_component_coloring	0	8	7	22.627	
136	1111223243324344	1213121422333444	17959	fallback_evaluated_by_x_component_coloring	0	12	17	75.644	
137	1111223243342344	1123142213324434	10117	fallback_evaluated_by_x_component_coloring	0	2	6	1.560	
138	1111223243342434	1122131434223344	7118	fallback_evaluated_by_x_component_coloring	0	2	6	1.610	
139	1111223243344234	1213122413323444	18171	fallback_evaluated_by_x_component_coloring	0	4	6	3.821	
140	1111223243423344	1112221334432434	1238	fallback_evaluated_by_x_component_coloring	0	6	6	6.719	
141	1111223243423434	1231142213243344	21663	fallback_evaluated_by_x_component_coloring	0	2	6	1.832	
142	1111223243432344	1213211223344434	18814	fallback_evaluated_by_x_component_coloring	0	1	4	0.026	
143	1111223243432434	1213142213324344	18696	fallback_evaluated_by_x_component_coloring	0	4	6	4.181	
145	1111223322343444	1122133124423344	7369	fallback_evaluated_by_x_component_coloring	0	10	19	75.793	
146	1111223322344344	1123122314432434	9524	fallback_evaluated_by_x_component_coloring	0	3	5	2.441	
147	1111223322344434	1122133244312344	7481	fallback_evaluated_by_x_component_coloring	0	8	5	22.202	
148	1111223323243444	1211132243434234	12334	fallback_evaluated_by_x_component_coloring	0	4	5	4.372	
149	1111223323244344	1211132243324434	12326	fallback_evaluated_by_x_component_coloring	0	8	7	21.673	
150	1111223323244434	1122133241423344	7461	fallback_evaluated_by_x_component_coloring	0	8	6	22.120	
151	1111223323423444	1213121432243344	17983	fallback_evaluated_by_x_component_coloring	0	2	7	2.059	
152	1111223323424344	1212133442132434	16129	fallback_evaluated_by_x_component_coloring	0	4	4	3.376	
153	1111223323424434	1211132432243344	12415	fallback_evaluated_by_x_component_coloring	0	2	7	2.701	
154	1111223323442344	1234121233124434	23854	fallback_evaluated_by_x_component_coloring	-1	1	3	0.009	
155	1111223323442434	1213142132234344	18665	fallback_evaluated_by_x_component_coloring	0	1	5	0.198	
157	1111223324233444	1231121232443344	20824	fallback_evaluated_by_x_component_coloring	0	2	4	1.220	
158	1111223324234344	1234111232432434	23598	fallback_evaluated_by_x_component_coloring	0	1	2	0.011	
159	1111223324234434	1213211232443344	18832	fallback_evaluated_by_x_component_coloring	0	1	5	0.245	
160	1111223324243344	1122121343324434	6730	fallback_evaluated_by_x_component_coloring	0	8	6	23.726	
161	1111223324243434	1213211322443344	18888	fallback_evaluated_by_x_component_coloring	0	4	7	3.770	
162	1111223324323444	1212131322443344	15612	fallback_evaluated_by_x_component_coloring	0	12	9	66.577	
163	1111223324324344	1211132242343434	12318	fallback_evaluated_by_x_component_coloring	0	16	28	221.129	
164	1111223324324434	1122131342243344	7063	fallback_partial		14	23	174.506	
165	1111223324342344	1212132143324434	15764	fallback_evaluated_by_x_component_coloring	0	3	7	2.950	
166	1111223324342434	1213121232443344	17854	fallback_evaluated_by_x_component_coloring	0	3	5	2.235	
167	1111223324344234	1213142321323444	18767	fallback_evaluated_by_x_component_coloring	0	1	4	0.045	
168	1111223324423344	1123231122344434	11002	fallback_evaluated_by_x_component_coloring	0	2	4	0.914	
169	1111223324423434	1122133241243344	7453	fallback_evaluated_by_x_component_coloring	0	8	6	20.014	
170	1111223324432344	1122131243324434	7016	fallback_evaluated_by_x_component_coloring	0	4	6	5.142	
171	1111223324432434	1213211432324344	18964	fallback_evaluated_by_x_component_coloring	0	4	5	2.058	
172	1111223324434234	1234111232233444	23584	fallback_evaluated_by_x_component_coloring	0	2	3	0.197	
173	1111223342233444	1123211432423344	10389	fallback_evaluated_by_x_component_coloring	0	6	12	14.730	
174	1111223342234344	1212121334432434	15296	fallback_evaluated_by_x_component_coloring	0	3	4	1.391	
175	1111223342234434	1212133212443344	15982	fallback_evaluated_by_x_component_coloring	0	2	8	2.846	
176	1111223342243344	1112232334412434	1767	fallback_evaluated_by_x_component_coloring	0	5	5	8.485	
177	1111223342243434	1122133214423344	7425	fallback_evaluated_by_x_component_coloring	0	8	9	31.574	
178	1111223342323444	1112233214344234	1946	fallback_evaluated_by_x_component_coloring	0	2	7	2.240	
179	1111223342324344	1122131432243434	7106	fallback_evaluated_by_x_component_coloring	0	8	5	12.889	
180	1111223342324434	1213243112243344	20050	fallback_evaluated_by_x_component_coloring	0	2	5	0.946	
184	1111223342423344	1123122313244434	9503	fallback_evaluated_by_x_component_coloring	0	4	6	5.010	
185	1111223342423434	1212133214243344	15997	fallback_evaluated_by_x_component_coloring	0	4	7	3.940	
186	1111223342432344	1112233214324434	1943	fallback_evaluated_by_x_component_coloring	0	2	8	2.831	
187	1111223342432434	1123241324123344	11444	fallback_evaluated_by_x_component_coloring	0	1	4	0.054	
188	1111223342434234	1231142213233444	21660	fallback_evaluated_by_x_component_coloring	2	2	6	1.884	
189	1111223344223344	1123211324432434	10334	fallback_evaluated_by_x_component_coloring	0	6	7	25.417	
190	1111223344223434	1211132322443344	12342	fallback_partial		13	5	64.544	
191	1111223344232344	1211132324324434	12361	fallback_evaluated_by_x_component_coloring	0	4	4	1.958	
192	1111223344232434	1213121322443344	17910	fallback_evaluated_by_x_component_coloring	0	4	7	5.105	
194	1111223422333444	1112233244134234	2002	fallback_evaluated_by_x_component_coloring	0	1	5	0.858	
195	1111223422334344	1211132234342434	12307	fallback_evaluated_by_x_component_coloring	0	2	4	1.117	
196	1111223422334434	1123241134232344	11338	fallback_evaluated_by_x_component_coloring	0	1	4	0.037	
197	1111223422343344	1112232143324434	1706	fallback_evaluated_by_x_component_coloring	0	4	7	3.640	
199	1111223423233444	1122133144223344	7390	fallback_evaluated_by_x_component_coloring	0	2	11	8.232	
200	1111223423234344	1122132143432434	7191	fallback_evaluated_by_x_component_coloring	0	2	14	6.577	
201	1111223423234434	1213142122333444	18643	fallback_evaluated_by_x_component_coloring	0	2	6	1.129	
202	1111223423243344	1213241132323444	19905	fallback_evaluated_by_x_component_coloring	0	2	4	0.772	
203	1111223423243434	1231142231324344	21682	fallback_evaluated_by_x_component_coloring	0	2	5	1.277	
204	1111223423323444	1213142231243344	18709	fallback_evaluated_by_x_component_coloring	0	1	5	0.211	
205	1111223423324344	1212132143342434	15766	fallback_evaluated_by_x_component_coloring	0	2	10	2.287	
206	1111223423324434	1231142122343344	21616	fallback_evaluated_by_x_component_coloring	0	2	5	1.443	
207	1111223423342344	1231122142334434	21022	fallback_evaluated_by_x_component_coloring	0	2	4	0.729	
209	1111223423344234	1231122142333444	21020	fallback_proved_zero	0	0	4	0.290	
210	1111223423423344	1231122133244434	20997	fallback_evaluated_by_x_component_coloring	0	2	6	1.536	
213	1111223423432434	1123243142123344	11528	fallback_evaluated_by_x_component_coloring	0	1	3	0.007	
216	1111223432234434	1213122132443344	18022	fallback_evaluated_by_x_component_coloring	0	2	6	1.105	
217	1111223432323444	1212132143344234	15767	fallback_evaluated_by_x_component_coloring	0	2	5	0.847	
218	1111223432324344	1211132234243434	12302	fallback_evaluated_by_x_component_coloring	0	3	6	2.780	
219	1111223432324434	1231142213243344	21663	fallback_evaluated_by_x_component_coloring	0	1	6	0.902	
220	1111223432342344	1213142123324434	18655	fallback_evaluated_by_x_component_coloring	0	1	5	0.163	
223	1111223432423344	1211132234342434	12307	fallback_evaluated_by_x_component_coloring	0	2	4	1.058	
224	1111223432423434	1213231124243344	19601	fallback_evaluated_by_x_component_coloring	0	2	5	0.846	
225	1111223432432344	1212132143324434	15764	fallback_evaluated_by_x_component_coloring	0	4	6	2.946	
226	1111223432432434	1213142213324344	18696	fallback_evaluated_by_x_component_coloring	0	3	6	1.837	
228	1111223434223344	1122133122344434	7342	fallback_evaluated_by_x_component_coloring	0	8	6	19.683	
230	1111223434232344	1234121122334434	23775	fallback_evaluated_by_x_component_coloring	1	1	2	0.004	
231	1111223434232434	1213241132423344	19911	fallback_evaluated_by_x_component_coloring	0	2	17	6.849	
233	1111232223433444	1122113243324434	6548	fallback_evaluated_by_x_component_coloring	0	4	6	3.272	
234	1111232223434344	1123211342243434	10340	fallback_evaluated_by_x_component_coloring	0	3	5	2.036	
235	1111232223434434	1213112432233444	17770	fallback_evaluated_by_x_component_coloring	-1	1	8	1.861	
236	1111232223443434	1213212344123344	19130	fallback_evaluated_by_x_component_coloring	0	1	3	0.067	
237	1111232232343444	1231112423324344	20730	fallback_partial		3	8	197.993	
238	1111232232344344	1112223434312434	1474	fallback_evaluated_by_x_component_coloring	0	1	4	0.203	
239	1111232232433444	1213112432243344	17773	fallback_evaluated_by_x_component_coloring	0	3	6	2.250	
240	1111232232434344	1231114223233444	20766	fallback_evaluated_by_x_component_coloring	0	6	8	17.587	
241	1111232232434434	1231112324243344	20685	fallback_evaluated_by_x_component_coloring	0	1	5	0.240	
242	1111232232443434	1213212413324344	19150	fallback_evaluated_by_x_component_coloring	0	5	6	7.445	
243	1111232233243444	1213211322443344	18888	fallback_evaluated_by_x_component_coloring	0	8	6	15.622	
244	1111232233244344	1122113323442434	6574	fallback_evaluated_by_x_component_coloring	0	4	12	8.414	
245	1111232233423444	1231114223344234	20776	fallback_evaluated_by_x_component_coloring	0	2	4	1.022	
246	1111232233424344	1112223433142434	1462	fallback_evaluated_by_x_component_coloring	0	2	5	1.449	
247	1111232233424434	1213114223233444	17796	fallback_evaluated_by_x_component_coloring	0	2	8	2.379	
248	1111232233442344	1213112224334434	17634	fallback_evaluated_by_x_component_coloring	0	6	6	6.924	
249	1111232233442434	1123211434223344	10394	fallback_evaluated_by_x_component_coloring	0	1	8	1.735	
251	1111232234233444	1123211432324434	10385	fallback_evaluated_by_x_component_coloring	0	1	7	1.215	
252	1111232234234344	1213213421432434	19376	fallback_evaluated_by_x_component_coloring	0	1	6	0.884	
253	1111232234234434	1213214321432344	19543	fallback_evaluated_by_x_component_coloring	0	2	6	1.575	
255	1111232234243434	1213112432423344	17781	fallback_evaluated_by_x_component_coloring	0	2	5	0.916	
257	1111232234324344	1213112432432434	17784	fallback_evaluated_by_x_component_coloring	0	1	5	0.256	
258	1111232234324434	1123214321432344	10963	fallback_evaluated_by_x_component_coloring	0	1	6	0.579	
259	1111232234342344	1212113322434434	15143	fallback_evaluated_by_x_component_coloring	0	2	9	3.599	
262	1111232234423344	1231112432243434	20744	fallback_evaluated_by_x_component_coloring	2	2	6	1.821	
263	1111232234423434	1213114222343344	17794	fallback_evaluated_by_x_component_coloring	0	1	7	1.141	
266	1111232242333444	1123211432234434	10380	fallback_evaluated_by_x_component_coloring	0	2	6	3.955	
267	1111232242334344	1123212313244434	10481	fallback_evaluated_by_x_component_coloring	0	4	5	5.134	
268	1111232242334434	1123214314232344	10947	fallback_evaluated_by_x_component_coloring	0	1	5	0.222	
269	1111232242343344	1213211434223434	18975	fallback_evaluated_by_x_component_coloring	0	5	11	7.907	
271	1111232243233444	1213211432324434	18965	fallback_evaluated_by_x_component_coloring	0	5	8	15.795	
272	1111232243234344	1213212331442434	19092	fallback_evaluated_by_x_component_coloring	0	1	5	0.219	
273	1111232243234434	1213212312443344	19056	fallback_evaluated_by_x_component_coloring	0	1	5	0.200	
274	1111232243243344	1213211422333444	18937	fallback_evaluated_by_x_component_coloring	0	4	6	2.611	
275	1111232243243434	1213112322443344	17700	fallback_evaluated_by_x_component_coloring	0	3	6	2.744	
276	1111232243323444	1123213214243344	10693	fallback_evaluated_by_x_component_coloring	0	2	7	1.921	
277	1111232243342344	1213211422334434	18939	fallback_evaluated_by_x_component_coloring	0	2	5	0.942	
278	1111232243342434	1231112423423344	20735	fallback_evaluated_by_x_component_coloring	0	1	4	0.037	
279	1111232243344234	1213112432323444	17775	fallback_proved_zero	0	0	4	0.201	
280	1111232243423344	1123211423342434	10371	fallback_evaluated_by_x_component_coloring	0	1	6	0.900	
281	1111232243423434	1213214312243344	19512	fallback_evaluated_by_x_component_coloring	0	2	8	2.790	
282	1111232243432344	1234112213324434	23659	fallback_evaluated_by_x_component_coloring	0	2	5	1.245	
283	1111232243432434	1231114223324344	20772	fallback_evaluated_by_x_component_coloring	0	2	6	1.196	
285	1111232322343444	1234112123324434	23617	fallback_evaluated_by_x_component_coloring	0	1	3	0.033	
286	1111232322344344	1123213124432434	10648	fallback_evaluated_by_x_component_coloring	0	1	7	1.897	
287	1111232322433444	1231112224334344	20603	fallback_evaluated_by_x_component_coloring	0	6	7	12.989	
288	1111232322434344	1122113324432434	6590	fallback_evaluated_by_x_component_coloring	0	8	6	15.655	
289	1111232322434434	1213213214243344	19273	fallback_evaluated_by_x_component_coloring	0	2	6	1.184	
290	1111232322443434	1213112243324344	17683	fallback_evaluated_by_x_component_coloring	0	2	6	1.564	
291	1111232323243444	1213213144223344	19246	fallback_evaluated_by_x_component_coloring	0	2	6	1.637	
292	1111232323244344	1212113322434434	15143	fallback_evaluated_by_x_component_coloring	0	4	8	5.570	
294	1111232323424344	1213214132233444	19432	fallback_evaluated_by_x_component_coloring	0	1	7	1.154	
296	1111232323442344	1213214132234434	19434	fallback_evaluated_by_x_component_coloring	0	2	6	1.534	
299	1111232324233444	1112223331424434	1372	fallback_evaluated_by_x_component_coloring	0	4	7	3.716	
300	1111232324234344	1213212142333444	19028	fallback_evaluated_by_x_component_coloring	0	2	6	1.607	
301	1111232324234434	1123214132432344	10865	fallback_evaluated_by_x_component_coloring	0	1	6	0.511	
302	1111232324243344	1122113243324434	6548	fallback_evaluated_by_x_component_coloring	0	6	7	11.194	
303	1111232324243434	1212113344223344	15188	fallback_evaluated_by_x_component_coloring	0	1	7	1.117	
304	1111232324323444	1122113233244434	6513	fallback_evaluated_by_x_component_coloring	0	6	7	8.358	
305	1111232324324344	1213112242333444	17672	fallback_evaluated_by_x_component_coloring	0	10	27	115.266	
306	1111232324324434	1213214132342344	19440	fallback_evaluated_by_x_component_coloring	0	1	5	0.738	
307	1111232324342344	1212113243324434	15128	fallback_evaluated_by_x_component_coloring	0	1	8	1.741	
310	1111232324423344	1213214321342434	19539	fallback_evaluated_by_x_component_coloring	0	1	7	1.625	
312	1111232324432344	1231114232324434	20789	fallback_evaluated_by_x_component_coloring	0	2	5	1.210	
313	1111232324434234	1234112132233444	23626	fallback_evaluated_by_x_component_coloring	0	2	3	0.224	
314	1111232342233444	1123214321434234	10965	fallback_evaluated_by_x_component_coloring	0	2	8	0.287	
315	1111232342234344	1231114223432434	20780	fallback_evaluated_by_x_component_coloring	0	2	4	0.914	
317	1111232342243344	1123213213442434	10688	fallback_evaluated_by_x_component_coloring	0	2	4	1.007	
320	1111232342324344	1234112213233444	23652	fallback_evaluated_by_x_component_coloring	0	2	3	0.179	
321	1111232342324434	1123214324132344	10978	fallback_evaluated_by_x_component_coloring	0	1	5	0.174	
327	1111232342432344	1213114223234434	17798	fallback_evaluated_by_x_component_coloring	0	2	5	0.885	
328	1111232342432434	1213214324123344	19556	fallback_evaluated_by_x_component_coloring	0	2	5	1.315	
330	1111232344223434	1234112213243344	23655	fallback_evaluated_by_x_component_coloring	0	1	4	0.039	
331	1111232344232344	1213214213324434	19465	fallback_evaluated_by_x_component_coloring	0	1	8	1.886	
332	1111232344232434	1213213214423344	19281	fallback_evaluated_by_x_component_coloring	0	2	6	1.143	
334	1111232422333444	1231112243324434	20654	fallback_evaluated_by_x_component_coloring	0	8	7	41.522	
335	1111232422334344	1112223344132434	1415	fallback_evaluated_by_x_component_coloring	0	1	6	0.893	
336	1111232422334434	1123213124243344	10637	fallback_evaluated_by_x_component_coloring	0	3	13	7.683	
337	1111232422343344	1213112243323444	17682	fallback_evaluated_by_x_component_coloring	0	5	6	8.502	
339	1111232423233444	1213112232443344	17644	fallback_evaluated_by_x_component_coloring	0	6	6	12.205	
